periodo,entidad,proporcion_umbral_pobreza,poblacion_umbral_pobreza,poblacion_total
2010,Aguascalientes,671.8772356715,553707,1198083
2010,"Baja California",196.7136739864,1225219,3235371
2010,"Baja California Sur",202.5208708915,232701,654837
2010,Campeche,725.9200340156001,461671,842088
2010,Chiapas,10379.617260976496,3983042,4926289
2010,Chihuahua,3579.1649816048,1829436,3534387
2010,Coahuila,2013.9596751316003,1134743,2790030
2010,Colima,470.9879328415,262687,663719
2010,"Distrito Federal",521.3914336808999,3018650,8888531
2010,Durango,2678.3291924497003,1010885,1675560
2010,Guanajuato,2867.506380982,3019478,5573313
2010,Guerrero,6516.669410723401,2398172,3448190
2010,Hidalgo,5529.682603970799,1589785,2701833
2010,Jalisco,6888.0927889546,3232608,7467401
2010,México,7015.940660828595,7590826,15648934
2010,Michoacán,7559.610611384502,2617370,4430692
2010,Morelos,1882.9294210100998,887758,1808804
2010,Nayarit,1157.2573167762002,509384,1115259
2010,"Nuevo León",1998.5311139705004,1382744,4731410
2010,Oaxaca,47566.532311986426,2646404,3875728
2010,Puebla,17095.832002561903,3943708,5881716
2010,Querétaro,1098.7826131216,859973,1852180
2010,"Quintana Roo",448.2223300812,536275,1362303
2010,"San Luis Potosí",4242.510695950599,1564424,2624588
2010,Sinaloa,948.2591475501999,1268451,2859776
2010,Sonora,2983.6244852897994,1092086,2730568
2010,Tabasco,1145.8328274947,1385058,2262147
2010,Tamaulipas,2424.5062398489995,1614530,3341868
2010,Tlaxcala,4244.8504292122,806894,1192068
2010,Veracruz,15409.541430582203,4797701,7724961
2010,Yucatán,7609.028411601902,1086259,1983718
2010,Zacatecas,4187.935832941401,1015408,1512919
