periodo,entidad,proporcion_pob_mex,poblacion_pob_mex,poblacion_total
2016,Aguascalientes,28.2192178207996,369.652,1309.93
2016,"Baja California",22.2326811896363,789.109,3549.32
2016,"Baja California Sur",22.1260353352439,175.642,793.825
2016,Campeche,43.7676473734657,405.035,925.421
2016,"Coahuila de Zaragoza",24.8151663561016,745.897,3005.811
2016,Colima,33.6317066376002,248.691,739.454
2016,Chiapas,77.0813866798972,4113.95,5337.151
2016,Chihuahua,30.608393052777,1149.961,3757.012
2016,"Ciudad de México",27.5954066297923,2434.424,8821.845
2016,Durango,35.9889163140311,643.299,1787.492
2016,Guanajuato,42.3598930775161,2489.715,5877.529
2016,Guerrero,64.407395586878,2314.72,3593.873
2016,Hidalgo,50.6203304070237,1478.836,2921.427
2016,Jalisco,31.8140145358918,2560.592,8048.629
2016,México,47.8758278957584,8230.2,17190.721
2016,"Michoacán de Ocampo",55.3379516912088,2565.862,4636.713
2016,Morelos,49.5446426647817,965.852,1949.458
2016,Nayarit,37.5255322562493,470.13,1252.827
2016,"Nuevo León",14.2455651864968,737.765,5178.91
2016,Oaxaca,70.4011047223915,2847.341,4044.455
2016,Puebla,59.4401576226756,3728.202,6272.194
2016,Querétaro,31.1192157534666,635.68,2042.725
2016,"Quintana Roo",28.8468369159165,471.04,1632.9
2016,"San Luis Potosí",45.5206572754781,1267.728,2784.951
2016,Sinaloa,30.8066370181467,929.683,3017.801
2016,Sonora,27.8637035269531,831.427,2983.907
2016,Tabasco,50.851786428559,1228.092,2415.042
2016,Tamaulipas,32.1622314783856,1156.22,3594.962
2016,Tlaxcala,53.9456620586858,701.757,1300.859
2016,"Veracruz de Ignacio de la Llave",62.1600454883255,5049.511,8123.403
2016,Yucatán,41.8716574809054,901.864,2153.877
2016,Zacatecas,49.0038749709534,780.274,1592.27
