periodo,entidad,proporcion_pob_mex,poblacion_pob_mex,poblacion_total
2012,Aguascalientes,37.758857252687,467.56,1238.279
2012,"Baja California",30.2093759990526,1010.139,3343.793
2012,"Baja California Sur",30.1088353562441,211.302,701.794
2012,Campeche,44.6641526814243,387.897,868.475
2012,"Coahuila de Zaragoza",27.9259631681576,799.281,2862.143
2012,Colima,34.4158802567585,237.197,689.208
2012,Chiapas,74.687344373186,3782.315,5064.198
2012,Chihuahua,35.2545012397297,1272.709,3610.061
2012,"Ciudad de México",28.905748402946,2565.321,8874.778
2012,Durango,50.0566643581187,858.654,1715.364
2012,Guanajuato,44.466643886272,2525.849,5680.323
2012,Guerrero,69.6961492418424,2442.903,3505.076
2012,Hidalgo,52.7731207395901,1465.908,2777.755
2012,Jalisco,39.7890977361243,3050.993,7667.912
2012,México,45.3343798949323,7328.735,16165.954
2012,"Michoacán de Ocampo",54.3666227029553,2447.693,4502.198
2012,Morelos,45.4522283795347,843.497,1855.788
2012,Nayarit,47.6253077954191,553.548,1162.298
2012,"Nuevo León",23.2467860257528,1132.874,4873.25
2012,Oaxaca,61.9373512047865,2434.595,3930.738
2012,Puebla,64.4703515075105,3878.116,6015.348
2012,Querétaro,36.9170773556431,707.439,1916.292
2012,"Quintana Roo",38.7933219286574,563.293,1452.036
2012,"San Luis Potosí",50.5326383988494,1354.16,2679.773
2012,Sinaloa,36.260367200897,1055.577,2911.104
2012,Sonora,29.1198366754751,821.295,2820.397
2012,Tabasco,49.6898593429549,1149.398,2313.144
2012,Tamaulipas,38.3594267533752,1315.624,3429.728
2012,Tlaxcala,57.8794343770733,711.88,1229.936
2012,"Veracruz de Ignacio de la Llave",52.6442969194176,4141.759,7867.441
2012,Yucatán,48.8565054508599,996.874,2040.412
2012,Zacatecas,54.2136903815645,835.517,1541.155
