estado_1,anio,miles_personas,porcen_pobla_carencia_acceso_servicios_salud,porcen_pobla_carencia_acceso_a_seguridad_social,porcen_pobla_carencia_acceso_a_alimentacion,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos
aguascalientes,2010,1198.080,19.700,49.300,20.200,14.800,46.200
baja_california,2010,3235.370,31.400,54.700,16.400,9.800,37.900
baja_california_sur,2010,654.840,20.200,45.900,26.000,11.200,35.500
campeche,2010,842.090,19.200,60.000,31.200,21.600,54.800
coahuila,2010,2790.030,17.600,34.300,20.800,11.500,40.700
colima,2010,663.720,16.400,55.800,19.900,8.600,39.600
chiapas,2010,4926.280,35.400,82.400,30.300,50.900,80.900
chihuahua,2010,3534.390,18.500,48.400,17.700,16.600,51.800
ciudad_mexico,2010,8888.530,32.500,52.400,15.500,6.000,34.000
durango,2010,1675.560,27.500,58.700,20.300,23.400,60.300
guanajuato,2010,5573.310,25.300,65.700,23.700,16.500,54.200
guerrero,2010,3448.190,38.900,78.500,42.700,38.800,69.500
hidalgo,2010,2701.840,29.800,71.800,29.000,23.800,58.800
jalisco,2010,7467.400,31.900,55.400,22.000,14.700,43.300
mexico,2010,15648.940,30.700,59.000,31.600,14.500,48.500
michoacan,2010,4430.690,38.200,72.200,28.800,21.600,59.100
morelos,2010,1808.800,29.900,64.600,22.000,13.900,49.100
nayarit,2010,1115.260,22.800,61.700,23.600,17.800,45.700
nuevo_leon,2010,4731.410,18.600,37.200,15.700,6.000,29.200
oaxaca,2010,3875.730,38.500,79.400,26.400,36.200,68.300
puebla,2010,5881.720,40.400,72.300,27.600,27.700,67.100
queretaro,2010,1852.180,22.100,60.600,21.300,16.000,46.400
quintana_roo,2010,1362.300,24.300,53.800,21.800,12.100,39.400
san_luis_potosi,2010,2624.590,19.000,57.300,30.100,26.000,59.600
sinaloa,2010,2859.780,21.400,53.600,24.500,14.200,44.400
sonora,2010,2730.570,22.700,46.200,25.800,10.900,40.000
tabasco,2010,2262.150,23.900,73.300,33.300,22.400,61.200
tamaulipas,2010,3341.870,20.900,51.100,13.600,14.500,48.300
tlaxcala,2010,1192.070,33.400,70.800,24.100,26.800,67.700
veracruz,2010,7724.960,34.900,69.200,26.100,27.800,62.100
yucatan,2010,1983.720,20.700,56.900,21.400,17.900,54.800
zacatecas,2010,1512.920,25.600,66.600,24.900,29.700,67.100
