estado_1,anio,miles_personas,porcen_pobla_carencia_acceso_servicios_salud,porcen_pobla_carencia_acceso_a_seguridad_social,porcen_pobla_carencia_acceso_a_alimentacion,porcen_pobla_ingreso_inferiora_linea_pobreza_extrema,porcen_pobla_ingreso_inferiora_linea_pobreza_ingresos
aguascalientes,2014,1273.850,12.500,43.200,21.600,12.900,43.700
baja_california,2014,3444.110,19.400,51.800,17.200,9.700,35.200
baja_california_sur,2014,747.570,14.200,46.600,24.600,10.600,35.900
campeche,2014,896.950,12.500,60.100,24.300,19.200,47.600
coahuila,2014,2935.850,15.600,34.200,22.000,11.800,41.300
colima,2014,713.150,12.700,51.900,25.400,10.600,40.700
chiapas,2014,5197.570,20.700,82.800,27.500,48.500,78.700
chihuahua,2014,3679.910,14.600,43.400,18.700,17.900,46.400
ciudad_mexico,2014,8820.100,19.900,46.300,11.700,8.200,36.400
durango,2014,1751.420,16.500,51.300,19.900,20.700,53.900
guanajuato,2014,5763.680,15.400,57.900,22.900,17.900,55.100
guerrero,2014,3550.280,19.200,78.100,38.500,35.600,67.900
hidalgo,2014,2850.300,17.300,68.900,31.700,24.700,59.400
jalisco,2014,7860.750,19.100,49.600,16.500,11.200,43.300
mexico,2014,16673.090,19.700,60.600,21.300,20.100,58.900
michoacan,2014,4571.740,26.200,71.300,34.700,24.400,63.300
morelos,2014,1901.080,16.600,66.200,26.900,20.500,58.400
nayarit,2014,1206.880,16.300,54.400,24.100,18.800,47.000
nuevo_leon,2014,5021.730,13.700,33.400,14.200,6.400,29.500
oaxaca,2014,3989.130,19.900,77.900,36.100,42.100,68.800
puebla,2014,6134.170,21.200,75.200,23.900,31.900,69.700
queretaro,2014,1977.100,15.800,54.300,15.800,12.300,42.000
quintana_roo,2014,1541.200,18.500,51.500,23.200,14.300,42.100
san_luis_potosi,2014,2725.180,10.700,59.100,21.600,23.200,56.700
sinaloa,2014,2964.400,15.200,49.300,29.600,13.500,46.300
sonora,2014,2902.360,14.400,41.800,24.900,9.700,36.600
tabasco,2014,2359.840,16.900,72.700,45.000,17.900,51.900
tamaulipas,2014,3508.920,15.000,45.500,19.500,16.100,49.100
tlaxcala,2014,1264.500,17.500,71.500,24.000,27.100,66.600
veracruz,2014,7989.350,21.700,68.500,30.000,29.200,63.000
yucatan,2014,2088.930,14.500,54.400,18.400,20.700,52.800
zacatecas,2014,1566.100,14.900,63.400,16.800,26.700,59.700
