estado_1,anio,porcentaje_contrib_acceso_servicios_salud_pobreza,porcentaje_contrib_acceso_seguridad_social_pobreza,porcentaje_contrib_acceso_alimentacion_pobreza,total
aguascalientes,2010,13.200,40.400,19.000,100
baja_california,2010,18.400,35.900,16.100,100
baja_california_sur,2010,13.300,33.300,23.600,100
campeche,2010,8.500,29.600,17.200,100
coahuila,2010,17.000,33.800,24.300,100
colima,2010,9.900,39.000,17.400,100
chiapas,2010,12.500,29.100,11.100,100
chihuahua,2010,15.000,37.500,18.400,100
ciudad_mexico,2010,23.200,39.900,15.700,100
durango,2010,16.700,37.300,13.900,100
guanajuato,2010,13.100,37.600,16.400,100
guerrero,2010,12.700,26.600,15.800,100
hidalgo,2010,13.400,34.700,15.600,100
jalisco,2010,17.400,34.900,18.300,100
mexico,2010,17.400,35.000,17.500,100
michoacan,2010,16.000,31.500,14.200,100
morelos,2010,14.900,36.200,14.100,100
nayarit,2010,12.400,37.500,16.500,100
nuevo_leon,2010,16.800,36.900,20.100,100
oaxaca,2010,13.400,28.700,10.600,100
puebla,2010,16.900,31.300,13.100,100
queretaro,2010,11.700,38.000,15.500,100
quintana_roo,2010,12.500,33.800,13.900,100
san_luis_potosi,2010,9.200,30.900,18.600,100
sinaloa,2010,12.800,35.500,20.300,100
sonora,2010,14.600,31.900,20.600,100
tabasco,2010,10.300,33.600,15.600,100
tamaulipas,2010,14.300,39.100,12.000,100
tlaxcala,2010,18.900,40.400,14.500,100
veracruz,2010,14.700,30.600,12.900,100
yucatan,2010,9.500,29.500,12.900,100
zacatecas,2010,14.500,40.000,16.500,100
