estado_1,anio,porcentaje_contrib_acceso_servicios_salud_pobreza,porcentaje_contrib_acceso_seguridad_social_pobreza,porcentaje_contrib_acceso_alimentacion_pobreza,total
aguascalientes,2016,10.900,44.100,19.400,100
baja_california,2016,13.700,39.300,17.200,100
baja_california_sur,2016,10.400,35.500,21.100,100
campeche,2016,5.500,35.800,16.400,100
coahuila,2016,15.000,36.800,19.900,100
colima,2016,7.700,38.300,20.400,100
chiapas,2016,6.200,36.100,8.700,100
chihuahua,2016,10.300,38.500,20.900,100
ciudad_mexico,2016,16.300,47.500,15.900,100
durango,2016,10.700,42.700,18.700,100
guanajuato,2016,8.700,41.200,16.200,100
guerrero,2016,5.300,32.700,12.500,100
hidalgo,2016,7.100,40.000,15.600,100
jalisco,2016,12.900,43.700,16.600,100
mexico,2016,10.100,41.500,17.100,100
michoacan,2016,11.000,36.200,14.900,100
morelos,2016,8.600,42.600,15.100,100
nayarit,2016,9.000,38.000,15.900,100
nuevo_leon,2016,13.300,40.400,19.400,100
oaxaca,2016,5.700,31.700,14.000,100
puebla,2016,9.200,40.300,12.400,100
queretaro,2016,8.100,41.100,14.300,100
quintana_roo,2016,9.200,34.200,13.400,100
san_luis_potosi,2016,5.600,40.000,14.800,100
sinaloa,2016,8.400,34.700,20.900,100
sonora,2016,10.300,34.900,23.600,100
tabasco,2016,5.300,32.600,23.300,100
tamaulipas,2016,9.700,39.100,18.700,100
tlaxcala,2016,7.800,48.000,17.800,100
veracruz,2016,9.100,34.700,12.100,100
yucatan,2016,7.100,32.300,13.000,100
zacatecas,2016,7.700,50.600,13.400,100
