estado_1,anio,porcentaje_contrib_acceso_servicios_salud_pobreza,porcentaje_contrib_acceso_seguridad_social_pobreza,porcentaje_contrib_acceso_alimentacion_pobreza,total
aguascalientes,2014,10.800,42.200,24.700,100
baja_california,2014,11.400,37.200,18.100,100
baja_california_sur,2014,9.700,36.600,22.300,100
campeche,2014,6.200,33.700,15.000,100
coahuila,2014,16.100,35.000,23.000,100
colima,2014,8.300,39.600,20.700,100
chiapas,2014,7.700,32.800,11.500,100
chihuahua,2014,11.700,35.900,19.300,100
ciudad_mexico,2014,19.100,47.300,14.400,100
durango,2014,12.200,41.200,18.000,100
guanajuato,2014,9.500,40.200,16.400,100
guerrero,2014,7.100,29.400,15.300,100
hidalgo,2014,8.700,37.800,19.300,100
jalisco,2014,13.900,41.600,16.200,100
mexico,2014,12.800,41.600,16.600,100
michoacan,2014,11.800,34.400,18.200,100
morelos,2014,8.400,39.100,17.100,100
nayarit,2014,10.400,36.500,20.000,100
nuevo_leon,2014,12.700,39.500,19.700,100
oaxaca,2014,7.200,30.600,15.200,100
puebla,2014,9.900,37.600,12.900,100
queretaro,2014,10.000,41.500,14.600,100
quintana_roo,2014,10.300,33.900,15.800,100
san_luis_potosi,2014,5.700,38.000,15.600,100
sinaloa,2014,8.700,32.700,22.700,100
sonora,2014,10.100,35.500,25.900,100
tabasco,2014,7.700,33.100,22.600,100
tamaulipas,2014,11.100,38.600,18.500,100
tlaxcala,2014,10.400,46.800,17.000,100
veracruz,2014,10.000,32.400,15.200,100
yucatan,2014,6.600,31.900,10.800,100
zacatecas,2014,9.700,46.900,14.200,100
