estado_1,anio,porcentaje_contrib_acceso_servicios_salud_pobreza,porcentaje_contrib_acceso_seguridad_social_pobreza,porcentaje_contrib_acceso_alimentacion_pobreza,total
aguascalientes,2012,12.100,42.500,22.400,100
baja_california,2012,14.400,42.500,16.200,100
baja_california_sur,2012,12.000,36.900,20.800,100
campeche,2012,6.200,36.300,12.100,100
coahuila,2012,15.400,35.800,23.600,100
colima,2012,9.700,37.800,20.500,100
chiapas,2012,9.300,31.900,10.300,100
chihuahua,2012,11.100,41.800,21.500,100
ciudad_mexico,2012,16.800,44.100,17.400,100
durango,2012,12.300,41.800,17.100,100
guanajuato,2012,9.600,37.900,19.400,100
guerrero,2012,9.100,29.500,15.300,100
hidalgo,2012,9.500,38.400,14.700,100
jalisco,2012,15.100,37.400,18.100,100
mexico,2012,14.800,42.200,14.200,100
michoacan,2012,11.700,32.800,17.200,100
morelos,2012,11.600,37.200,19.100,100
nayarit,2012,10.000,36.600,19.100,100
nuevo_leon,2012,13.900,37.000,21.400,100
oaxaca,2012,7.700,30.800,14.400,100
puebla,2012,12.400,34.700,14.700,100
queretaro,2012,9.100,39.900,15.800,100
quintana_roo,2012,12.300,35.800,13.300,100
san_luis_potosi,2012,6.800,35.300,15.100,100
sinaloa,2012,9.200,35.800,20.200,100
sonora,2012,10.600,32.100,24.500,100
tabasco,2012,7.800,32.700,16.900,100
tamaulipas,2012,10.100,39.600,16.800,100
tlaxcala,2012,13.400,40.600,18.200,100
veracruz,2012,11.100,32.000,14.300,100
yucatan,2012,6.700,29.700,14.500,100
zacatecas,2012,11.100,44.700,17.800,100
