estado_1,anio,porcentaje_contrib_acceso_servicios_salud_pobreza,porcentaje_contrib_acceso_seguridad_social_pobreza,porcentaje_contrib_acceso_alimentacion_pobreza,total
aguascalientes,2018,11.400,47.500,17.000,100
baja_california,2018,12.000,37.800,15.400,100
baja_california_sur,2018,8.800,36.900,20.100,100
campeche,2018,5.200,34.500,16.600,100
coahuila,2018,15.100,35.600,25.100,100
colima,2018,7.100,39.100,20.500,100
chiapas,2018,6.700,34.800,9.900,100
chihuahua,2018,8.200,37.900,22.500,100
ciudad_mexico,2018,17.800,47.000,17.200,100
durango,2018,10.500,44.800,21.000,100
guanajuato,2018,8.600,42.500,17.200,100
guerrero,2018,5.000,31.100,15.000,100
hidalgo,2018,7.100,41.700,14.600,100
jalisco,2018,13.900,38.400,15.800,100
mexico,2018,12.500,43.500,16.700,100
michoacan,2018,10.500,39.500,13.900,100
morelos,2018,9.100,40.600,17.200,100
nayarit,2018,7.800,37.100,17.200,100
nuevo_leon,2018,14.500,40.600,20.900,100
oaxaca,2018,5.900,32.000,12.500,100
puebla,2018,11.300,41.000,12.800,100
queretaro,2018,7.800,44.500,13.100,100
quintana_roo,2018,8.400,34.000,12.800,100
san_luis_potosi,2018,4.800,38.600,13.700,100
sinaloa,2018,8.600,34.000,21.900,100
sonora,2018,8.900,36.400,23.400,100
tabasco,2018,5.400,33.100,23.600,100
tamaulipas,2018,8.500,39.900,18.600,100
tlaxcala,2018,8.900,48.500,16.600,100
veracruz,2018,7.700,33.900,13.800,100
yucatan,2018,6.300,32.400,13.400,100
zacatecas,2018,8.100,50.200,13.600,100
