ENTIDAD,ANIO,0_6_MESES_OBESIDAD,6_11_MESES_OBESIDAD,12_23_MESES_OBESIDAD,2_4_ANIOS_OBESIDAD
AGUASCALIENTES,2016,1570,6528,13056,2176
BAJA CALIFORNIA,2016,2994,12252,24504,4084
BAJA CALIFORNIA SUR,2016,857,5172,10344,1724
CAMPECHE,2016,1852,9756,19512,3252
CHIAPAS,2016,27493,69042,138084,23014
CHIHUAHUA,2016,3454,18354,36708,6118
COAHUILA,2016,492,12918,25836,4306
COLIMA,2016,1818,9414,18828,3138
DISTRITO FEDERAL,2016,3970,10776,21552,3592
DURANGO,2016,1416,17172,34344,5724
GUANAJUATO,2016,5577,40212,80424,13404
GUERRERO,2016,15721,74652,149304,24884
HIDALGO,2016,7461,42516,85032,14172
JALISCO,2016,3267,54924,109848,18308
MEXICO,2016,18699,80028,160056,26676
MICHOACAN,2016,3714,37512,75024,12504
MORELOS,2016,2301,15810,31620,5270
NAYARIT,2016,2688,17364,34728,5788
NUEVO LEON,2016,3711,31008,62016,10336
OAXACA,2016,7136,49932,99864,16644
PUEBLA,2016,8090,48822,97644,16274
QUERETARO,2016,9104,18204,36408,6068
QUINTANA ROO,2016,1848,13386,26772,4462
SAN LUIS POTOSI,2016,4834,21414,42828,7138
SINALOA,2016,3916,18630,37260,6210
SONORA,2016,4756,18084,36168,6028
TABASCO,2016,1746,41916,83832,13972
TAMAULIPAS,2016,3480,24018,48036,8006
TLAXCALA,2016,4505,13002,26004,4334
VERACRUZ,2016,11400,39384,78768,13128
YUCATAN,2016,4593,12096,24192,4032
ZACATECAS,2016,3327,16560,33120,5520
