ENTIDAD,ANIO,0_6_MESES_OBESIDAD,6_11_MESES_OBESIDAD,12_23_MESES_OBESIDAD,2_4_ANIOS_OBESIDAD
AGUASCALIENTES,2018,1456,6360,12720,2120
BAJA CALIFORNIA,2018,1991,11844,23688,3948
BAJA CALIFORNIA SUR,2018,550,4932,9864,1644
CAMPECHE,2018,1427,9774,19548,3258
CHIAPAS,2018,17526,63570,127140,21190
CHIHUAHUA,2018,2280,17400,34800,5800
CIUDAD DE MEXICO,2018,3481,11934,23868,3978
COAHUILA DE ZARAGOZA,2018,38,6078,12156,2026
COLIMA,2018,1132,9378,18756,3126
DURANGO,2018,396,13686,27372,4562
GUANAJUATO,2018,3125,38838,77676,12946
GUERRERO,2018,5914,51300,102600,17100
HIDALGO,2018,2106,42138,84276,14046
JALISCO,2018,683,37314,74628,12438
MEXICO,2018,9503,79362,158724,26454
MICHOACAN DE OCAMPO,2018,1833,34824,69648,11608
MORELOS,2018,1106,8892,17784,2964
NAYARIT,2018,647,11160,22320,3720
NUEVO LEON,2018,1881,30774,61548,10258
OAXACA,2018,3874,46122,92244,15374
PUEBLA,2018,5189,48960,97920,16320
QUERETARO ARTEAGA,2018,5139,18204,36408,6068
QUINTANA ROO,2018,1714,13470,26940,4490
SAN LUIS POTOSI,2018,2988,21510,43020,7170
SINALOA,2018,7239,18420,36840,6140
SONORA,2018,3767,15414,30828,5138
TABASCO,2018,2466,40068,80136,13356
TAMAULIPAS,2018,2862,22902,45804,7634
TLAXCALA,2018,1631,13320,26640,4440
VERACRUZ DE IGNACIO DE LA LLAVE,2018,11270,57618,115236,19206
YUCATAN,2018,3580,12096,24192,4032
ZACATECAS,2018,2135,16854,33708,5618
