ENTIDAD,ANIO,0_6_MESES_OBESIDAD,6_23_MESES_OBESIDAD,2_4_ANIOS_OBESIDAD
AGUASCALIENTES,2011,4085,6096,2032
BAJA CALIFORNIA,2011,5341,12468,4156
BAJA CALIFORNIA SUR,2011,2221,5106,1702
CAMPECHE,2011,3998,9678,3226
CHIAPAS,2011,44156,68238,22746
CHIHUAHUA,2011,9470,17844,5948
COAHUILA,2011,1398,12828,4276
COLIMA,2011,4833,9438,3146
DISTRITO FEDERAL,2011,1379,6504,2168
DURANGO,2011,3447,17724,5908
GUANAJUATO,2011,20674,39960,13320
GUERRERO,2011,29445,72420,24140
HIDALGO,2011,5730,42738,14246
JALISCO,2011,11630,54846,18282
MEXICO,2011,33519,77436,25812
MICHOACAN,2011,11121,37494,12498
MORELOS,2011,6147,15690,5230
NAYARIT,2011,6327,17250,5750
NUEVO LEON,2011,3786,29454,9818
OAXACA,2011,13744,51714,17238
PUEBLA,2011,16994,46122,15374
QUERETARO,2011,14790,17154,5718
QUINTANA ROO,2011,3842,12738,4246
SAN LUIS POTOSI,2011,13161,21204,7068
SINALOA,2011,17777,18258,6086
SONORA,2011,8349,17496,5832
TABASCO,2011,3410,41520,13840
TAMAULIPAS,2011,5099,21294,7098
TLAXCALA,2011,2676,12456,4152
VERACRUZ,2011,38317,55986,18662
YUCATAN,2011,11875,12210,4070
ZACATECAS,2011,5921,16218,5406
