ENTIDAD,ANIO,0_6_MESES_OBESIDAD,6_23_MESES_OBESIDAD,2_4_ANIOS_OBESIDAD
AGUASCALIENTES,2010,4239,6030,2010
BAJA CALIFORNIA,2010,3936,12348,4116
BAJA CALIFORNIA SUR,2010,2893,5040,1680
CAMPECHE,2010,4073,9480,3160
CHIAPAS,2010,36066,64716,21572
CHIHUAHUA,2010,9476,17574,5858
COAHUILA,2010,1465,12432,4144
COLIMA,2010,3049,9258,3086
DISTRITO FEDERAL,2010,1000,6348,2116
DURANGO,2010,3971,17250,5750
GUANAJUATO,2010,23090,39726,13242
GUERRERO,2010,29323,71490,23830
HIDALGO,2010,6305,42000,14000
JALISCO,2010,12072,54198,18066
MEXICO,2010,31584,77814,25938
MICHOACAN,2010,10095,37728,12576
MORELOS,2010,7092,15438,5146
NAYARIT,2010,6719,17196,5732
NUEVO LEON,2010,3714,29592,9864
OAXACA,2010,13278,51516,17172
PUEBLA,2010,15845,44880,14960
QUERETARO,2010,13876,16098,5366
QUINTANA ROO,2010,3913,12390,4130
SAN LUIS POTOSI,2010,15209,21096,7032
SINALOA,2010,12843,17664,5888
SONORA,2010,10588,17436,5812
TABASCO,2010,3562,41358,13786
TAMAULIPAS,2010,3614,20514,6838
TLAXCALA,2010,2183,12486,4162
VERACRUZ,2010,43098,56340,18780
YUCATAN,2010,9774,12126,4042
ZACATECAS,2010,6559,16110,5370
