ENTIDAD,ANIO,0_1_ANO_OBESIDAD,1_2_ANIOS_OBESIDAD,2_4_ANIOS_OBESIDAD
AGUASCALIENTES,2014,7087,1102,2204
BAJA CALIFORNIA,2014,8489,2079,4158
BAJA CALIFORNIA SUR,2014,3985,860,1720
CAMPECHE,2014,7742,1606,3212
CHIAPAS,2014,82541,12139,24278
CHIHUAHUA,2014,15352,3053,6106
COAHUILA,2014,2573,2087,4174
COLIMA,2014,8996,1569,3138
DISTRITO FEDERAL,2014,6726,1769,3538
DURANGO,2014,5867,2849,5698
GUANAJUATO,2014,35712,6719,13438
GUERRERO,2014,53654,12302,24604
HIDALGO,2014,13612,7102,14204
JALISCO,2014,17261,9169,18338
MEXICO,2014,52739,13031,26062
MICHOACAN,2014,21619,6331,12662
MORELOS,2014,11083,2626,5252
NAYARIT,2014,11630,2908,5816
NUEVO LEON,2014,9731,5205,10410
OAXACA,2014,27342,8960,17920
PUEBLA,2014,37208,7920,15840
QUERETARO,2014,35389,3016,6032
QUINTANA ROO,2014,7852,2186,4372
SAN LUIS POTOSI,2014,28400,3486,6972
SINALOA,2014,23937,3121,6242
SONORA,2014,15174,3037,6074
TABASCO,2014,6553,6984,13968
TAMAULIPAS,2014,12367,3949,7898
TLAXCALA,2014,7509,2079,4158
VERACRUZ,2014,64346,9444,18888
YUCATAN,2014,15439,2006,4012
ZACATECAS,2014,10069,2714,5428
