periodo,entidad,proporcion_pobreza_1_90,poblacion_pobreza_1_90,poblacion_total
2010,Aguascalientes,4.919978019,59.002,1199.233
2010,"Baja California",3.129718354,101.258,3235.371
2010,"Baja California Sur",3.075111707,20.137,654.838
2010,Campeche,7.708942188,64.916,842.087
2010,"Coahuila de Zaragoza",2.705705673,75.49,2790.03
2010,Colima,2.326436338,15.441,663.719
2010,Chiapas,28.13899889,1386.207,4926.284
2010,Chihuahua,5.868514116,207.416,3534.387
2010,"Ciudad de México",0.785027537,69.79,8890.134
2010,Durango,6.265673883,104.985,1675.558
2010,Guanajuato,4.367474068,243.413,5573.313
2010,Guerrero,18.69842401,644.757,3448.189
2010,Hidalgo,7.413810461,200.309,2701.836
2010,Jalisco,4.496464031,335.769,7467.401
2010,México,3.061211318,479.047,15648.936
2010,"Michoacán de Ocampo",6.2009501,274.745,4430.692
2010,Morelos,3.589887898,64.934,1808.803
2010,Nayarit,6.365158228,70.988,1115.259
2010,"Nuevo León",0.28154386,13.321,4731.412
2010,Oaxaca,20.17736397,782.208,3876.661
2010,Puebla,8.070921431,474.709,5881.72
2010,Querétaro,5.857911141,108.499,1852.179
2010,"Quintana Roo",3.951103389,53.826,1362.303
2010,"San Luis Potosí",11.5635629,303.496,2624.589
2010,Sinaloa,4.198229442,120.06,2859.777
2010,Sonora,3.095308449,84.536,2731.101
2010,Tabasco,4.023788021,91.024,2262.147
2010,Tamaulipas,2.600011371,86.889,3341.87
2010,Tlaxcala,6.601318972,78.727,1192.595
2010,"Veracruz de Ignacio de la Llave",10.8241261,836.594,7728.975
2010,Yucatán,3.637198555,72.157,1983.862
2010,Zacatecas,12.88898289,195,1512.92
