periodo,entidad,proporcion_pobreza_1_90,poblacion_pobreza_1_90,poblacion_total
2012,Aguascalientes,3.950644402,48.92,1238.279
2012,"Baja California",2.610717829,87.297,3343.793
2012,"Baja California Sur",3.923658509,27.536,701.794
2012,Campeche,6.30910504,54.793,868.475
2012,"Coahuila de Zaragoza",2.127357019,60.888,2862.143
2012,Colima,2.817291732,19.417,689.208
2012,Chiapas,20.25979237,1025.996,5064.198
2012,Chihuahua,4.2204273,152.36,3610.061
2012,"Ciudad de México",0.989996595,87.86,8874.778
2012,Durango,7.491179715,128.501,1715.364
2012,Guanajuato,4.088288641,232.228,5680.323
2012,Guerrero,19.19028289,672.634,3505.076
2012,Hidalgo,6.853736201,190.38,2777.755
2012,Jalisco,5.054765887,387.595,7667.912
2012,México,2.423797569,391.83,16165.954
2012,"Michoacán de Ocampo",5.489229927,247.136,4502.198
2012,Morelos,2.465637239,45.757,1855.788
2012,Nayarit,10.88946208,126.568,1162.298
2012,"Nuevo León",1.733832658,84.494,4873.25
2012,Oaxaca,15.38071556,605.245,3935.09
2012,Puebla,9.258400345,556.925,6015.348
2012,Querétaro,4.338169757,83.132,1916.292
2012,"Quintana Roo",4.95662642,71.972,1452.036
2012,"San Luis Potosí",7.321291766,196.194,2679.773
2012,Sinaloa,3.046679198,88.692,2911.104
2012,Sonora,2.541060709,71.668,2820.397
2012,Tabasco,7.812094707,180.705,2313.144
2012,Tamaulipas,2.073138161,71.103,3429.728
2012,Tlaxcala,5.422477267,66.693,1229.936
2012,"Veracruz de Ignacio de la Llave",6.007340888,472.624,7867.441
2012,Yucatán,2.256161991,46.035,2040.412
2012,Zacatecas,12.17119628,187.577,1541.155
