periodo,entidad,proporcion_pobreza_1_90,poblacion_pobreza_1_90,poblacion_total
2008,Aguascalientes,4.373397404,50.639,1157.887
2008,"Baja California",2.204965046,68.86,3122.952
2008,"Baja California Sur",2.799130825,17.107,611.154
2008,Campeche,5.244156718,42.706,814.354
2008,"Coahuila de Zaragoza",2.92219227,79.155,2708.754
2008,Colima,2.077009964,13.166,633.892
2008,Chiapas,24.05800525,1150.698,4783.015
2008,Chihuahua,3.835287933,132.199,3446.912
2008,"Ciudad de México",0.381522003,34.067,8929.236
2008,Durango,6.46635758,105.706,1634.707
2008,Guanajuato,3.617256883,197.335,5455.377
2008,Guerrero,20.12769846,682.364,3390.174
2008,Hidalgo,8.746180338,228.892,2617.051
2008,Jalisco,2.350214868,170.189,7241.423
2008,México,2.644063688,399.24,15099.485
2008,"Michoacán de Ocampo",7.884739171,342.734,4346.802
2008,Morelos,5.406305879,95.088,1758.835
2008,Nayarit,5.5482257,59.083,1064.899
2008,"Nuevo León",1.771532945,81.053,4575.303
2008,Oaxaca,16.4139578,625.315,3809.654
2008,Puebla,10.39931894,597.215,5742.828
2008,Querétaro,3.621246767,64.709,1786.926
2008,"Quintana Roo",3.864724429,49.178,1272.484
2008,"San Luis Potosí",8.007770107,205.128,2561.612
2008,Sinaloa,2.755948865,77.084,2797.004
2008,Sonora,1.00963566,26.693,2643.825
2008,Tabasco,8.457799741,186.807,2208.695
2008,Tamaulipas,2.468165025,80.166,3248
2008,Tlaxcala,5.208365796,60.166,1155.18
2008,"Veracruz de Ignacio de la Llave",8.812116097,668.063,7581.187
2008,Yucatán,2.634180941,50.805,1928.683
2008,Zacatecas,9.857826947,145.954,1480.59
