CLAVE_ENTIDAD,ENTIDAD,SEXO,EDAD,DIAS_ACTIVIDAD_FISICA_VIGOROSA_EN_7_ULTIMOS_DIAS,DIAS_ACTIVIDAD_FISICA_MODERADA_EN_7_ULTIMOS_DIAS,DIAS_10_MIN_CAMINAR_EN_7_ULTIMOS_DIAS
22,QUERÉTARO,mujer,19,0,6,7
22,QUERÉTARO,mujer,64,0,7,7
22,QUERÉTARO,mujer,58,0,6,4
22,QUERÉTARO,hombre,40,2,5,5
22,QUERÉTARO,mujer,68,0,3,0
22,QUERÉTARO,mujer,57,0,5,0
22,QUERÉTARO,hombre,18,0,4,0
22,QUERÉTARO,hombre,47,0,6,6
22,QUERÉTARO,hombre,53,3,5,0
22,QUERÉTARO,mujer,33,0,4,3
22,QUERÉTARO,hombre,37,0,1,1
22,QUERÉTARO,mujer,44,0,0,7
22,QUERÉTARO,mujer,18,0,3,0
22,QUERÉTARO,hombre,38,5,3,7
22,QUERÉTARO,hombre,24,7,3,2
22,QUERÉTARO,hombre,26,0,7,7
22,QUERÉTARO,hombre,19,0,6,7
22,QUERÉTARO,mujer,28,2,0,3
22,QUERÉTARO,mujer,40,1,5,3
22,QUERÉTARO,hombre,41,3,0,6
22,QUERÉTARO,mujer,17,1,2,2
22,QUERÉTARO,mujer,57,0,7,1
22,QUERÉTARO,mujer,15,4,4,5
22,QUERÉTARO,mujer,34,0,7,0
22,QUERÉTARO,mujer,46,0,7,7
22,QUERÉTARO,hombre,15,0,3,7
22,QUERÉTARO,mujer,27,0,7,3
22,QUERÉTARO,mujer,57,0,7,7
22,QUERÉTARO,mujer,62,0,0,1
22,QUERÉTARO,hombre,59,7,1,6
22,QUERÉTARO,mujer,23,1,6,7
22,QUERÉTARO,mujer,27,7,7,7
22,QUERÉTARO,mujer,37,0,5,5
22,QUERÉTARO,mujer,32,0,7,3
22,QUERÉTARO,mujer,28,2,7,7
22,QUERÉTARO,hombre,63,5,0,5
22,QUERÉTARO,mujer,31,0,7,0
22,QUERÉTARO,hombre,51,5,3,5
22,QUERÉTARO,hombre,26,6,2,3
22,QUERÉTARO,mujer,34,6,3,7
22,QUERÉTARO,mujer,31,5,0,7
22,QUERÉTARO,mujer,20,0,7,7
22,QUERÉTARO,hombre,19,1,6,6
22,QUERÉTARO,hombre,20,7,7,7
22,QUERÉTARO,mujer,43,3,5,4
22,QUERÉTARO,mujer,15,3,3,6
22,QUERÉTARO,mujer,22,0,3,0
22,QUERÉTARO,mujer,27,0,7,5
22,QUERÉTARO,mujer,56,0,7,7
22,QUERÉTARO,mujer,67,0,7,7
22,QUERÉTARO,hombre,36,0,7,7
22,QUERÉTARO,mujer,31,0,0,7
22,QUERÉTARO,hombre,43,1,7,7
25,SINALOA,hombre,16,0,6,6
25,SINALOA,hombre,52,0,6,6
25,SINALOA,hombre,16,0,7,7
25,SINALOA,mujer,45,0,0,5
25,SINALOA,hombre,18,3,3,6
25,SINALOA,hombre,46,3,5,5
25,SINALOA,hombre,23,3,5,5
25,SINALOA,mujer,58,0,5,5
25,SINALOA,hombre,33,1,5,1
25,SINALOA,hombre,19,0,5,7
25,SINALOA,hombre,29,7,7,7
25,SINALOA,hombre,34,2,4,4
25,SINALOA,mujer,24,0,4,6
25,SINALOA,hombre,40,0,6,2
25,SINALOA,mujer,55,0,2,0
25,SINALOA,mujer,59,0,7,5
25,SINALOA,mujer,25,0,7,7
25,SINALOA,hombre,35,6,5,6
25,SINALOA,mujer,25,0,7,3
25,SINALOA,hombre,41,1,3,7
25,SINALOA,mujer,62,0,7,3
25,SINALOA,hombre,44,1,3,1
25,SINALOA,hombre,45,0,0,0
25,SINALOA,hombre,17,0,2,0
25,SINALOA,hombre,52,7,4,3
25,SINALOA,mujer,66,0,6,5
25,SINALOA,mujer,37,0,7,3
25,SINALOA,hombre,16,3,3,5
25,SINALOA,mujer,23,5,6,3
25,SINALOA,mujer,55,0,7,4
25,SINALOA,mujer,33,0,6,0
25,SINALOA,hombre,63,0,2,7
25,SINALOA,hombre,49,2,6,4
25,SINALOA,hombre,60,0,5,4
25,SINALOA,hombre,49,0,3,6
25,SINALOA,mujer,16,6,6,5
25,SINALOA,mujer,31,0,4,5
25,SINALOA,mujer,38,0,6,6
25,SINALOA,mujer,36,5,0,0
25,SINALOA,mujer,24,7,0,0
25,SINALOA,hombre,18,0,0,0
25,SINALOA,mujer,42,3,3,3
25,SINALOA,mujer,31,5,6,5
25,SINALOA,mujer,36,2,3,4
25,SINALOA,mujer,34,0,6,6
25,SINALOA,mujer,30,0,7,0
25,SINALOA,mujer,22,3,6,3
25,SINALOA,mujer,18,5,5,5
25,SINALOA,mujer,34,0,4,7
25,SINALOA,hombre,21,0,3,6
25,SINALOA,hombre,18,0,4,4
25,SINALOA,mujer,31,0,3,5
25,SINALOA,hombre,25,0,5,3
25,SINALOA,hombre,47,0,0,6
25,SINALOA,mujer,35,0,4,6
25,SINALOA,mujer,50,0,5,0
25,SINALOA,mujer,51,0,7,7
25,SINALOA,mujer,29,0,7,7
25,SINALOA,mujer,38,0,2,5
25,SINALOA,mujer,63,0,5,6
25,SINALOA,hombre,25,0,4,6
25,SINALOA,hombre,26,6,6,6
25,SINALOA,hombre,33,5,6,6
25,SINALOA,mujer,30,2,6,6
25,SINALOA,mujer,47,0,6,6
25,SINALOA,mujer,19,0,2,0
25,SINALOA,mujer,51,0,6,6
25,SINALOA,hombre,19,6,6,6
25,SINALOA,hombre,52,6,6,0
25,SINALOA,mujer,48,0,6,6
25,SINALOA,mujer,16,0,7,7
25,SINALOA,mujer,27,0,6,6
25,SINALOA,hombre,27,0,7,4
25,SINALOA,mujer,32,0,5,6
25,SINALOA,hombre,65,0,5,7
25,SINALOA,mujer,54,0,7,5
25,SINALOA,mujer,43,0,7,2
25,SINALOA,mujer,26,0,7,1
25,SINALOA,hombre,19,0,3,4
25,SINALOA,mujer,63,0,7,4
25,SINALOA,hombre,27,0,3,6
25,SINALOA,mujer,23,5,7,7
25,SINALOA,hombre,65,0,5,6
25,SINALOA,hombre,44,0,4,5
25,SINALOA,hombre,49,2,4,7
25,SINALOA,hombre,50,0,0,4
17,MORELOS,hombre,15,7,3,6
17,MORELOS,hombre,26,1,7,7
17,MORELOS,mujer,29,0,7,5
17,MORELOS,hombre,36,7,7,7
17,MORELOS,mujer,39,0,0,1
17,MORELOS,hombre,38,0,2,1
17,MORELOS,hombre,48,6,0,0
17,MORELOS,hombre,33,2,7,7
17,MORELOS,hombre,46,0,1,0
17,MORELOS,hombre,22,6,5,2
17,MORELOS,mujer,15,0,4,4
17,MORELOS,mujer,34,0,6,7
17,MORELOS,hombre,17,7,3,7
17,MORELOS,mujer,43,0,1,4
17,MORELOS,mujer,33,7,7,7
17,MORELOS,hombre,60,1,7,3
17,MORELOS,mujer,22,0,7,7
17,MORELOS,hombre,28,6,0,6
17,MORELOS,mujer,69,0,7,2
17,MORELOS,mujer,18,0,7,7
17,MORELOS,hombre,22,7,7,7
17,MORELOS,hombre,42,1,4,7
17,MORELOS,hombre,15,0,0,7
17,MORELOS,mujer,69,0,7,0
17,MORELOS,hombre,48,2,0,7
17,MORELOS,hombre,31,6,6,7
17,MORELOS,mujer,24,0,5,0
17,MORELOS,mujer,49,0,7,0
17,MORELOS,mujer,15,0,7,7
17,MORELOS,hombre,62,0,6,7
17,MORELOS,mujer,26,0,7,1
17,MORELOS,hombre,47,0,3,7
17,MORELOS,hombre,19,5,5,7
17,MORELOS,hombre,33,6,1,6
17,MORELOS,hombre,65,0,0,7
17,MORELOS,hombre,43,1,7,0
17,MORELOS,hombre,68,7,7,7
17,MORELOS,hombre,51,7,0,7
17,MORELOS,mujer,48,0,7,7
17,MORELOS,hombre,50,0,2,2
17,MORELOS,mujer,49,0,2,0
17,MORELOS,mujer,23,0,7,7
17,MORELOS,hombre,40,4,7,7
17,MORELOS,hombre,18,4,4,0
17,MORELOS,mujer,49,2,7,2
18,NAYARIT,hombre,36,3,7,7
18,NAYARIT,hombre,54,0,6,2
18,NAYARIT,hombre,69,0,2,7
18,NAYARIT,hombre,61,0,0,7
18,NAYARIT,hombre,46,0,6,2
18,NAYARIT,mujer,16,0,3,5
18,NAYARIT,mujer,23,0,7,7
18,NAYARIT,hombre,54,0,1,7
18,NAYARIT,hombre,39,1,7,7
18,NAYARIT,mujer,60,5,7,7
18,NAYARIT,hombre,15,5,3,7
18,NAYARIT,hombre,28,0,5,5
18,NAYARIT,mujer,29,0,7,7
18,NAYARIT,mujer,21,0,2,7
18,NAYARIT,mujer,17,0,5,5
18,NAYARIT,hombre,26,1,6,0
18,NAYARIT,hombre,29,3,3,3
18,NAYARIT,mujer,61,5,3,4
18,NAYARIT,mujer,51,0,6,0
18,NAYARIT,hombre,59,5,7,0
18,NAYARIT,mujer,55,0,7,7
18,NAYARIT,mujer,15,5,7,5
18,NAYARIT,hombre,25,7,1,0
18,NAYARIT,hombre,21,3,2,5
18,NAYARIT,hombre,39,0,7,1
18,NAYARIT,hombre,48,0,6,0
18,NAYARIT,mujer,25,0,3,0
18,NAYARIT,hombre,41,1,5,5
18,NAYARIT,mujer,38,0,0,7
18,NAYARIT,mujer,21,0,1,7
18,NAYARIT,mujer,33,1,1,7
18,NAYARIT,hombre,46,0,6,2
18,NAYARIT,mujer,35,3,2,4
18,NAYARIT,mujer,21,0,0,0
18,NAYARIT,hombre,17,5,4,5
18,NAYARIT,mujer,61,0,7,5
18,NAYARIT,hombre,27,6,5,3
18,NAYARIT,mujer,35,6,6,7
18,NAYARIT,mujer,22,1,0,5
18,NAYARIT,mujer,40,0,3,0
18,NAYARIT,mujer,24,0,3,5
20,OAXACA,hombre,20,3,7,7
20,OAXACA,mujer,60,0,7,7
20,OAXACA,mujer,30,5,0,7
20,OAXACA,mujer,53,4,4,3
20,OAXACA,mujer,41,0,5,2
20,OAXACA,hombre,32,2,2,6
20,OAXACA,hombre,51,7,7,7
20,OAXACA,mujer,50,3,3,5
20,OAXACA,mujer,43,0,7,7
20,OAXACA,hombre,23,5,5,3
20,OAXACA,hombre,18,6,1,7
20,OAXACA,hombre,60,0,7,7
20,OAXACA,mujer,33,0,5,7
20,OAXACA,mujer,55,0,1,4
20,OAXACA,mujer,19,3,3,3
20,OAXACA,mujer,34,0,7,7
20,OAXACA,hombre,52,1,6,7
20,OAXACA,hombre,16,2,2,3
20,OAXACA,mujer,26,0,7,7
20,OAXACA,mujer,55,3,7,3
20,OAXACA,mujer,30,6,7,7
20,OAXACA,mujer,35,0,0,3
20,OAXACA,mujer,60,0,7,7
20,OAXACA,mujer,51,0,6,4
20,OAXACA,hombre,29,0,7,7
20,OAXACA,hombre,63,0,7,7
20,OAXACA,hombre,45,7,7,7
20,OAXACA,hombre,16,3,4,6
20,OAXACA,mujer,58,0,7,7
20,OAXACA,hombre,30,7,2,7
20,OAXACA,hombre,45,0,7,7
20,OAXACA,mujer,38,0,7,7
20,OAXACA,mujer,17,2,7,7
20,OAXACA,mujer,64,0,7,7
20,OAXACA,mujer,22,0,7,7
20,OAXACA,hombre,45,3,6,7
20,OAXACA,mujer,17,0,4,7
20,OAXACA,hombre,25,1,7,7
20,OAXACA,hombre,32,7,3,7
20,OAXACA,mujer,36,0,0,3
20,OAXACA,hombre,16,6,1,7
20,OAXACA,hombre,30,5,7,7
20,OAXACA,hombre,41,0,0,3
20,OAXACA,mujer,15,0,7,7
20,OAXACA,hombre,52,7,7,0
20,OAXACA,mujer,31,0,7,0
20,OAXACA,mujer,21,0,7,3
20,OAXACA,hombre,38,0,0,0
20,OAXACA,mujer,61,0,7,7
20,OAXACA,mujer,39,0,7,7
20,OAXACA,mujer,17,0,7,7
20,OAXACA,mujer,17,1,1,7
20,OAXACA,hombre,22,0,0,4
20,OAXACA,hombre,23,0,2,7
20,OAXACA,hombre,24,0,7,7
20,OAXACA,mujer,21,0,7,7
20,OAXACA,mujer,63,0,7,7
20,OAXACA,mujer,51,0,7,7
20,OAXACA,mujer,56,0,7,7
20,OAXACA,hombre,17,2,2,7
20,OAXACA,hombre,64,7,7,7
20,OAXACA,hombre,60,0,7,7
20,OAXACA,mujer,28,0,7,7
20,OAXACA,hombre,56,2,7,7
20,OAXACA,hombre,21,0,2,7
20,OAXACA,hombre,53,0,2,7
20,OAXACA,mujer,33,3,7,7
20,OAXACA,mujer,25,0,0,7
20,OAXACA,hombre,21,0,4,4
20,OAXACA,mujer,29,2,7,7
20,OAXACA,mujer,33,0,7,6
20,OAXACA,mujer,41,0,7,7
20,OAXACA,hombre,28,6,7,7
20,OAXACA,mujer,17,0,7,7
20,OAXACA,mujer,42,0,7,7
20,OAXACA,mujer,15,0,7,4
20,OAXACA,hombre,27,2,7,2
20,OAXACA,mujer,58,1,5,7
20,OAXACA,mujer,35,1,7,7
20,OAXACA,mujer,32,0,7,4
20,OAXACA,mujer,45,0,7,7
20,OAXACA,mujer,27,0,6,7
20,OAXACA,mujer,55,0,7,7
20,OAXACA,mujer,26,0,7,2
20,OAXACA,hombre,32,0,7,7
20,OAXACA,hombre,37,7,5,7
22,QUERÉTARO,hombre,17,1,7,7
22,QUERÉTARO,mujer,43,0,7,7
22,QUERÉTARO,mujer,56,0,7,7
22,QUERÉTARO,mujer,27,0,7,7
22,QUERÉTARO,hombre,67,0,0,0
22,QUERÉTARO,mujer,57,0,2,7
22,QUERÉTARO,hombre,54,0,7,7
22,QUERÉTARO,mujer,39,0,3,3
22,QUERÉTARO,hombre,19,4,2,7
22,QUERÉTARO,mujer,35,0,7,5
22,QUERÉTARO,hombre,29,4,4,6
22,QUERÉTARO,mujer,27,1,0,7
22,QUERÉTARO,mujer,22,0,7,6
22,QUERÉTARO,mujer,46,0,6,7
22,QUERÉTARO,hombre,42,0,6,6
22,QUERÉTARO,hombre,16,5,2,7
22,QUERÉTARO,mujer,31,0,0,5
22,QUERÉTARO,mujer,30,0,5,7
22,QUERÉTARO,hombre,25,2,2,6
22,QUERÉTARO,mujer,31,0,7,3
22,QUERÉTARO,hombre,35,3,7,7
22,QUERÉTARO,mujer,54,0,2,2
22,QUERÉTARO,hombre,17,7,7,7
22,QUERÉTARO,mujer,44,0,7,3
22,QUERÉTARO,mujer,15,2,7,3
22,QUERÉTARO,hombre,36,7,7,3
22,QUERÉTARO,mujer,46,7,7,7
22,QUERÉTARO,mujer,15,0,7,7
22,QUERÉTARO,hombre,34,7,3,7
22,QUERÉTARO,mujer,29,0,3,7
22,QUERÉTARO,hombre,21,5,5,5
22,QUERÉTARO,hombre,19,5,3,5
22,QUERÉTARO,hombre,44,7,7,7
22,QUERÉTARO,mujer,33,0,3,6
22,QUERÉTARO,mujer,34,0,5,5
22,QUERÉTARO,mujer,40,0,7,5
22,QUERÉTARO,hombre,37,1,5,0
22,QUERÉTARO,mujer,64,0,7,0
22,QUERÉTARO,mujer,51,0,7,5
22,QUERÉTARO,hombre,43,7,7,7
22,QUERÉTARO,mujer,66,0,7,0
22,QUERÉTARO,hombre,29,5,2,5
22,QUERÉTARO,mujer,21,0,0,0
22,QUERÉTARO,hombre,25,0,0,2
22,QUERÉTARO,mujer,51,0,0,2
22,QUERÉTARO,mujer,42,1,7,1
22,QUERÉTARO,mujer,37,0,3,5
22,QUERÉTARO,mujer,37,0,3,1
22,QUERÉTARO,hombre,59,2,2,7
22,QUERÉTARO,hombre,58,6,6,6
22,QUERÉTARO,mujer,64,0,7,0
22,QUERÉTARO,mujer,15,0,7,5
22,QUERÉTARO,mujer,58,0,0,7
22,QUERÉTARO,mujer,42,1,7,7
22,QUERÉTARO,hombre,45,0,0,7
22,QUERÉTARO,hombre,17,2,0,2
22,QUERÉTARO,mujer,29,0,2,0
22,QUERÉTARO,mujer,33,0,5,0
22,QUERÉTARO,mujer,42,2,4,7
22,QUERÉTARO,hombre,20,3,0,7
22,QUERÉTARO,mujer,19,0,0,7
22,QUERÉTARO,hombre,33,0,1,7
22,QUERÉTARO,mujer,32,0,2,7
22,QUERÉTARO,mujer,32,5,7,3
22,QUERÉTARO,hombre,36,4,1,7
22,QUERÉTARO,hombre,49,3,0,7
22,QUERÉTARO,mujer,34,3,7,3
22,QUERÉTARO,hombre,15,6,7,7
22,QUERÉTARO,hombre,67,7,7,7
22,QUERÉTARO,hombre,36,0,0,5
22,QUERÉTARO,hombre,15,3,1,3
22,QUERÉTARO,mujer,33,1,3,5
22,QUERÉTARO,mujer,32,3,2,1
22,QUERÉTARO,hombre,28,2,2,1
22,QUERÉTARO,mujer,25,3,4,3
22,QUERÉTARO,hombre,25,0,0,0
22,QUERÉTARO,mujer,15,0,7,2
22,QUERÉTARO,mujer,32,3,7,7
23,QUINTANA ROO,hombre,29,0,0,0
23,QUINTANA ROO,mujer,31,6,6,6
23,QUINTANA ROO,hombre,17,5,5,0
23,QUINTANA ROO,mujer,20,4,7,6
23,QUINTANA ROO,mujer,50,0,7,5
23,QUINTANA ROO,hombre,24,5,5,3
23,QUINTANA ROO,mujer,38,0,7,0
23,QUINTANA ROO,hombre,41,0,7,7
25,SINALOA,mujer,36,0,7,0
25,SINALOA,mujer,43,0,7,7
25,SINALOA,hombre,17,2,0,7
25,SINALOA,hombre,46,6,6,4
25,SINALOA,mujer,16,2,3,5
25,SINALOA,mujer,43,0,3,3
25,SINALOA,mujer,17,0,2,5
25,SINALOA,mujer,54,0,6,6
25,SINALOA,mujer,55,0,7,5
25,SINALOA,mujer,49,0,7,4
25,SINALOA,mujer,27,0,7,0
25,SINALOA,mujer,20,1,6,0
25,SINALOA,mujer,50,0,6,0
25,SINALOA,hombre,22,1,0,5
25,SINALOA,hombre,66,0,3,5
25,SINALOA,hombre,23,4,6,6
25,SINALOA,mujer,40,0,6,5
25,SINALOA,hombre,23,1,4,3
25,SINALOA,mujer,19,5,2,0
25,SINALOA,hombre,22,0,5,6
25,SINALOA,mujer,39,0,6,6
25,SINALOA,mujer,32,0,6,6
25,SINALOA,hombre,50,0,3,4
25,SINALOA,hombre,58,0,4,5
25,SINALOA,hombre,23,5,7,7
25,SINALOA,mujer,42,0,5,6
25,SINALOA,mujer,26,0,2,3
25,SINALOA,mujer,38,0,7,5
25,SINALOA,mujer,47,0,7,7
25,SINALOA,mujer,29,0,7,0
25,SINALOA,mujer,33,0,5,3
25,SINALOA,mujer,57,0,7,0
25,SINALOA,mujer,42,0,6,6
25,SINALOA,mujer,68,0,2,0
25,SINALOA,mujer,34,0,7,5
25,SINALOA,hombre,32,0,5,0
25,SINALOA,hombre,19,5,2,0
25,SINALOA,hombre,31,0,6,1
25,SINALOA,hombre,17,0,0,5
25,SINALOA,mujer,26,0,6,5
25,SINALOA,mujer,27,0,6,0
25,SINALOA,mujer,42,0,5,7
25,SINALOA,hombre,52,4,3,4
25,SINALOA,mujer,69,0,3,7
25,SINALOA,mujer,39,6,7,2
25,SINALOA,mujer,26,0,7,5
25,SINALOA,hombre,40,5,5,7
25,SINALOA,mujer,25,0,6,5
25,SINALOA,hombre,43,6,6,4
25,SINALOA,mujer,19,0,5,7
25,SINALOA,mujer,47,0,5,5
25,SINALOA,hombre,16,0,5,4
25,SINALOA,mujer,20,0,5,6
25,SINALOA,hombre,23,3,6,6
25,SINALOA,mujer,49,0,6,6
25,SINALOA,mujer,63,0,6,5
25,SINALOA,hombre,53,6,6,0
25,SINALOA,mujer,48,0,6,6
25,SINALOA,hombre,51,0,7,6
25,SINALOA,hombre,61,6,6,6
25,SINALOA,hombre,15,5,3,3
25,SINALOA,mujer,34,0,4,5
25,SINALOA,mujer,58,0,6,7
25,SINALOA,hombre,22,4,6,4
25,SINALOA,hombre,35,0,5,6
25,SINALOA,mujer,16,0,5,3
25,SINALOA,mujer,25,0,7,0
25,SINALOA,mujer,50,6,7,7
25,SINALOA,mujer,64,0,7,1
25,SINALOA,mujer,46,0,7,1
25,SINALOA,mujer,17,0,4,5
25,SINALOA,hombre,35,3,7,0
25,SINALOA,mujer,30,0,7,0
25,SINALOA,hombre,45,6,7,7
25,SINALOA,mujer,39,1,7,0
25,SINALOA,hombre,26,0,0,5
25,SINALOA,mujer,58,0,7,0
25,SINALOA,mujer,55,0,3,3
25,SINALOA,mujer,48,0,3,6
25,SINALOA,mujer,18,0,4,5
25,SINALOA,hombre,68,0,0,3
25,SINALOA,hombre,39,0,5,6
25,SINALOA,mujer,37,0,5,6
25,SINALOA,mujer,27,0,7,7
25,SINALOA,mujer,38,0,7,2
25,SINALOA,mujer,49,0,7,7
25,SINALOA,mujer,18,0,1,7
18,NAYARIT,mujer,18,3,3,2
18,NAYARIT,mujer,54,0,6,3
18,NAYARIT,hombre,35,0,0,0
18,NAYARIT,mujer,30,0,6,0
18,NAYARIT,mujer,27,0,4,2
18,NAYARIT,mujer,38,6,0,5
18,NAYARIT,hombre,64,0,0,1
18,NAYARIT,mujer,38,0,7,5
18,NAYARIT,mujer,26,6,5,5
18,NAYARIT,mujer,58,0,7,7
18,NAYARIT,mujer,51,0,7,0
18,NAYARIT,mujer,33,0,7,7
18,NAYARIT,mujer,53,0,6,6
18,NAYARIT,hombre,20,4,6,2
18,NAYARIT,mujer,31,0,2,2
18,NAYARIT,hombre,16,7,0,7
18,NAYARIT,mujer,39,0,7,7
18,NAYARIT,hombre,49,0,7,7
18,NAYARIT,hombre,25,3,7,7
18,NAYARIT,mujer,19,0,7,7
18,NAYARIT,hombre,23,7,2,7
18,NAYARIT,hombre,18,0,7,7
18,NAYARIT,hombre,36,0,0,0
