estado_1,anio,porc_la_pob_ocupada_sin_acces_seguridad_social,miles_perso_ocupadas_sin_acces_seguridadsocial,porc_la_pob_no_economi_activa_sin_acces_seguridad_social,miles_perso_no_economi_activa_sin_acces_seguridad_social,porc_la_pob_65_anios_mas_sin_acces_seguridad_social,miles_perso_65_anios_mas_sin_acces_seguridad_social
aguascalientes,2018,45.600,285.010,36.600,113.520,12.300,12.300
baja_california,2018,50.600,846.700,38.400,359.940,17.300,41.540
baja_california_sur,2018,46.700,189.940,34.500,67.490,10.800,5.620
campeche,2018,64.700,303.190,46.300,91.700,14.800,9.550
coahuila,2018,33.200,443.080,25.100,199.770,7.300,17.880
colima,2018,52.300,199.240,39.200,66.600,9.000,5.670
chiapas,2018,84.200,2210.830,71.100,617.670,33.300,103.170
chihuahua,2018,46.600,797.940,34.300,339.640,14.700,45.340
ciudad_de_mexico,2018,51.700,2177.290,37.900,1000.100,10.500,97.710
durango,2018,52.000,390.670,39.200,192.490,10.900,16.230
guanajuato,2018,58.000,1550.190,50.100,695.740,19.100,81.730
guerrero,2018,77.000,1373.910,61.800,418.150,27.000,86.260
hidalgo,2018,73.500,1095.500,57.200,361.290,21.000,58.560
jalisco,2018,53.500,2106.420,40.500,747.250,16.500,116.710
mexico,2018,63.400,5160.010,45.800,2126.020,18.600,245.320
michoacan,2018,71.400,1588.500,56.400,586.490,20.500,84.000
morelos,2018,72.000,685.730,51.000,252.290,21.100,42.210
nayarit,2018,59.200,366.990,44.000,120.910,11.700,14.440
nuevo_leon,2018,39.500,968.680,26.100,381.480,6.900,30.400
oaxaca,2018,77.800,1539.110,62.700,530.020,25.600,108.530
puebla,2018,74.300,2243.360,58.900,814.190,26.800,134.500
queretaro,2018,56.200,548.820,44.200,222.950,19.200,27.950
quintana_roo,2018,54.600,485.340,43.400,143.840,22.500,17.050
san_luis_potosi,2018,56.600,709.230,49.200,361.210,19.100,49.990
sinaloa,2018,48.500,653.610,36.600,306.170,6.900,20.020
sonora,2018,43.700,619.920,32.400,249.970,9.100,22.560
tabasco,2018,73.000,841.940,60.000,318.070,23.600,41.020
tamaulipas,2018,46.800,741.280,36.900,388.540,14.200,52.120
tlaxcala,2018,71.400,475.230,54.600,149.940,26.300,24.680
veracruz,2018,70.700,2730.980,55.500,1107.320,22.200,181.260
yucatan,2018,60.000,711.260,41.500,181.660,12.800,22.910
zacatecas,2018,64.600,431.640,54.900,242.700,17.200,25.700
