estado_1,anio,porc_la_pob_ocupada_sin_acces_seguridad_social,miles_perso_ocupadas_sin_acces_seguridadsocial,porc_la_pob_no_economi_activa_sin_acces_seguridad_social,miles_perso_no_economi_activa_sin_acces_seguridad_social,porc_la_pob_65_anios_mas_sin_acces_seguridad_social,miles_perso_65_anios_mas_sin_acces_seguridad_social
aguascalientes,2010,49.300,222.760,44.100,135.440,28.300,20.890
baja_california,2010,57.300,715.910,48.700,454.370,30.100,49.060
baja_california_sur,2010,49.600,128.830,39.000,69.990,17.300,6.340
campeche,2010,61.000,224.430,50.700,101.630,25.100,14.100
coahuila,2010,38.700,438.040,28.700,201.000,15.200,23.150
colima,2010,59.100,170.920,44.600,69.220,27.200,11.990
chiapas,2010,83.500,1446.480,73.300,958.370,17.800,50.540
chihuahua,2010,49.100,635.530,39.300,382.270,21.600,58.760
ciudad_de_mexico,2010,55.000,2191.550,41.200,1010.640,16.200,117.630
durango,2010,59.100,360.210,52.700,250.310,26.700,30.860
guanajuato,2010,65.300,1362.230,60.900,897.770,41.600,151.450
guerrero,2010,78.800,1131.250,66.700,457.290,36.200,97.120
hidalgo,2010,73.300,785.810,63.700,476.530,38.900,83.250
jalisco,2010,55.100,1755.600,49.100,846.910,33.100,171.120
mexico,2010,63.800,3816.060,49.400,2117.910,27.900,251.470
michoacan,2010,71.600,1176.630,65.300,770.310,35.100,114.680
morelos,2010,65.700,512.810,55.300,238.610,32.600,44.290
nayarit,2010,61.400,293.560,54.800,145.930,28.100,24.850
nuevo_leon,2010,36.000,720.090,32.800,410.740,9.100,31.960
oaxaca,2010,81.000,1266.670,71.500,679.020,48.100,139.240
puebla,2010,73.900,1752.450,63.500,911.150,37.000,139.910
queretaro,2010,59.400,423.330,54.900,264.640,32.800,40.680
quintana_roo,2010,54.500,332.130,49.400,156.740,29.100,15.390
san_luis_potosi,2010,56.800,600.510,50.200,326.450,25.300,50.220
sinaloa,2010,57.700,615.490,45.400,387.930,18.000,35.550
sonora,2010,49.700,567.330,40.200,272.130,21.300,39.760
tabasco,2010,76.400,598.390,66.800,431.620,44.800,50.800
tamaulipas,2010,53.000,694.000,43.900,400.560,22.800,51.050
tlaxcala,2010,72.300,340.860,63.800,188.880,32.800,23.800
veracruz,2010,71.600,2122.120,59.900,1349.240,38.500,230.400
yucatan,2010,61.100,539.560,46.400,227.550,24.200,35.320
zacatecas,2010,66.300,355.890,61.500,266.040,31.100,36.680
