estado_1,anio,porc_la_pob_ocupada_sin_acces_seguridad_social,miles_perso_ocupadas_sin_acces_seguridadsocial,porc_la_pob_no_economi_activa_sin_acces_seguridad_social,miles_perso_no_economi_activa_sin_acces_seguridad_social,porc_la_pob_65_anios_mas_sin_acces_seguridad_social,miles_perso_65_anios_mas_sin_acces_seguridad_social
aguascalientes,2016,41.500,251.770,34.300,93.650,7.200,5.850
baja_california,2016,44.600,732.270,39.800,339.940,14.000,25.190
baja_california_sur,2016,42.000,155.670,35.200,65.710,7.000,3.010
campeche,2016,60.400,270.170,47.500,92.870,16.300,10.060
coahuila,2016,33.000,421.200,24.400,186.920,5.100,11.080
colima,2016,50.300,176.660,40.100,67.100,10.100,5.610
chiapas,2016,81.500,2020.160,67.700,644.070,21.800,72.720
chihuahua,2016,40.500,668.600,37.000,329.840,13.600,33.040
ciudad_de_mexico,2016,48.900,2092.750,35.400,874.690,8.200,76.210
durango,2016,51.900,405.720,40.800,179.500,8.200,10.980
guanajuato,2016,56.000,1518.480,44.800,584.930,13.600,58.210
guerrero,2016,75.400,1258.290,60.300,443.130,19.600,66.540
hidalgo,2016,73.700,1000.860,60.200,369.010,23.100,50.300
jalisco,2016,50.100,1946.560,40.500,702.100,14.800,96.050
mexico,2016,57.600,4197.380,46.400,2133.910,16.700,214.990
michoacan,2016,70.000,1536.290,55.800,525.290,16.700,70.480
morelos,2016,64.200,592.800,49.800,238.720,14.200,24.940
nayarit,2016,56.100,340.300,45.700,116.970,11.200,11.860
nuevo_leon,2016,34.800,798.530,28.100,381.610,6.900,26.740
oaxaca,2016,79.400,1369.780,64.600,638.210,22.400,79.390
puebla,2016,71.800,2150.160,55.600,738.210,20.000,95.040
queretaro,2016,50.200,473.060,40.000,199.920,10.400,13.990
quintana_roo,2016,48.600,390.380,47.200,160.400,10.300,8.410
san_luis_potosi,2016,54.200,684.150,50.100,332.790,12.200,28.490
sinaloa,2016,46.900,613.980,37.200,297.370,8.500,22.200
sonora,2016,42.400,577.500,32.800,236.200,9.600,22.710
tabasco,2016,69.600,734.720,59.200,344.570,20.100,30.880
tamaulipas,2016,43.600,716.040,36.800,322.810,8.800,24.680
tlaxcala,2016,68.000,414.440,54.500,148.300,16.000,15.230
veracruz,2016,69.900,2599.000,56.100,1067.190,20.000,132.630
yucatan,2016,57.600,639.900,40.800,177.710,10.500,19.170
zacatecas,2016,61.400,408.960,51.300,214.040,10.400,14.670
