estado_1,anio,porcentaje_de_la_poblacion_en_pobreza,miles_de_personas_en_pobreza,porcentaje_de_la_poblacion_en_pobreza_moderada,miles_de_personas_en_pobreza_moderada,porcentaje_de_la_poblacion_en_pobreza_extrema,miles_de_personas_en_pobreza_extrema
aguascalientes,2012,37.800,467.560,34.400,425.580,3.400,41.980
baja_california,2012,30.200,1010.140,27.500,918.630,2.700,91.510
baja_california_sur,2012,30.100,211.300,26.400,185.510,3.700,25.800
campeche,2012,44.700,387.900,34.200,297.160,10.400,90.740
coahuila,2012,27.900,799.280,24.700,706.590,3.200,92.690
colima,2012,34.400,237.200,30.400,209.770,4.000,27.430
chiapas,2012,74.700,3782.320,42.500,2153.120,32.200,1629.200
chihuahua,2012,35.300,1272.710,31.500,1136.420,3.800,136.290
ciudad_de_mexico,2012,28.900,2565.320,26.400,2346.300,2.500,219.030
durango,2012,50.100,858.650,42.600,730.630,7.500,128.030
guanajuato,2012,44.500,2525.850,37.600,2134.000,6.900,391.850
guerrero,2012,69.700,2442.900,38.000,1331.390,31.700,1111.510
hidalgo,2012,52.800,1465.910,42.800,1189.190,10.000,276.710
jalisco,2012,39.800,3050.990,34.000,2604.810,5.800,446.180
mexico,2012,45.300,7328.740,39.500,6383.070,5.800,945.670
michoacan,2012,54.400,2447.690,39.900,1797.350,14.400,650.350
morelos,2012,45.500,843.500,39.100,726.320,6.300,117.170
nayarit,2012,47.600,553.550,35.700,414.860,11.900,138.690
nuevo_leon,2012,23.200,1132.870,20.800,1015.340,2.400,117.530
oaxaca,2012,61.900,2434.600,38.600,1518.010,23.300,916.590
puebla,2012,64.500,3878.120,46.900,2819.040,17.600,1059.070
queretaro,2012,36.900,707.440,31.800,608.730,5.200,98.710
quintana_roo,2012,38.800,563.290,30.400,441.130,8.400,122.160
san_luis_potosi,2012,50.500,1354.160,37.700,1011.210,12.800,342.950
sinaloa,2012,36.300,1055.580,31.800,925.360,4.500,130.220
sonora,2012,29.100,821.300,24.200,681.460,5.000,139.840
tabasco,2012,49.700,1149.400,35.400,818.600,14.300,330.800
tamaulipas,2012,38.400,1315.620,33.700,1155.460,4.700,160.160
tlaxcala,2012,57.900,711.880,48.800,599.640,9.100,112.250
veracruz,2012,52.600,4141.760,38.400,3019.810,14.300,1121.950
yucatan,2012,48.900,996.870,39.000,796.270,9.800,200.610
zacatecas,2012,54.200,835.520,46.700,720.220,7.500,115.300
