estado_1,anio,porcentaje_de_la_poblacion_en_pobreza,miles_de_personas_en_pobreza,porcentaje_de_la_poblacion_en_pobreza_moderada,miles_de_personas_en_pobreza_moderada,porcentaje_de_la_poblacion_en_pobreza_extrema,miles_de_personas_en_pobreza_extrema
aguascalientes,2018,26.200,351.530,25.000,335.880,1.200,15.650
baja_california,2018,23.300,848.440,21.600,789.140,1.600,59.300
baja_california_sur,2018,18.100,151.740,16.600,139.160,1.500,12.580
campeche,2018,46.200,440.420,36.500,347.380,9.800,93.050
coahuila,2018,22.500,691.130,21.000,646.600,1.400,44.530
colima,2018,30.900,235.620,28.500,217.370,2.400,18.250
chiapas,2018,76.400,4174.600,46.700,2551.310,29.700,1623.290
chihuahua,2018,26.300,1005.730,23.700,905.890,2.600,99.840
ciudad_de_mexico,2018,30.600,2682.730,28.800,2529.400,1.700,153.330
durango,2018,37.300,680.040,35.100,639.630,2.200,40.410
guanajuato,2018,43.400,2587.830,39.100,2334.570,4.200,253.260
guerrero,2018,66.500,2412.200,39.700,1440.760,26.800,971.440
hidalgo,2018,43.800,1311.100,37.800,1129.630,6.100,181.470
jalisco,2018,28.400,2337.640,25.500,2093.120,3.000,244.520
mexico,2018,42.700,7546.540,37.800,6680.790,4.900,865.750
michoacan,2018,46.000,2161.920,40.000,1877.570,6.100,284.350
morelos,2018,50.800,1013.330,43.400,866.360,7.400,146.970
nayarit,2018,34.800,450.950,28.900,374.710,5.900,76.250
nuevo_leon,2018,14.500,773.030,14.100,747.800,0.500,25.230
oaxaca,2018,66.400,2714.700,43.100,1762.850,23.300,951.850
puebla,2018,58.900,3763.650,50.300,3211.730,8.600,551.920
queretaro,2018,27.600,579.200,25.600,538.000,2.000,41.200
quintana_roo,2018,27.600,474.830,24.100,415.050,3.500,59.780
san_luis_potosi,2018,43.400,1229.000,36.100,1021.420,7.300,207.580
sinaloa,2018,30.900,946.870,28.200,864.560,2.700,82.310
sonora,2018,28.200,863.030,25.600,782.400,2.600,80.630
tabasco,2018,53.600,1320.170,41.400,1017.680,12.300,302.500
tamaulipas,2018,35.100,1287.900,31.800,1166.080,3.300,121.810
tlaxcala,2018,48.400,645.760,45.300,604.010,3.100,41.750
veracruz,2018,61.800,5088.560,44.100,3630.710,17.700,1457.850
yucatan,2018,40.800,900.480,34.100,753.370,6.700,147.110
zacatecas,2018,46.800,755.210,43.400,700.800,3.400,54.410
