estado_1,anio,porcentaje_de_la_poblacion_en_pobreza,miles_de_personas_en_pobreza,porcentaje_de_la_poblacion_en_pobreza_moderada,miles_de_personas_en_pobreza_moderada,porcentaje_de_la_poblacion_en_pobreza_extrema,miles_de_personas_en_pobreza_extrema
aguascalientes,2010,38.100,456.840,34.400,411.720,3.800,45.120
baja_california,2010,31.500,1019.800,28.100,910.670,3.400,109.130
baja_california_sur,2010,31.000,202.970,26.400,172.670,4.600,30.290
campeche,2010,50.500,425.300,36.700,309.220,13.800,116.080
coahuila,2010,27.800,775.930,24.900,694.000,2.900,81.930
colima,2010,34.700,230.260,32.200,213.530,2.500,16.730
chiapas,2010,78.500,3866.320,40.200,1980.890,38.300,1885.420
chihuahua,2010,38.800,1371.580,32.200,1139.690,6.600,231.890
ciudad_de_mexico,2010,28.500,2537.160,26.400,2344.780,2.200,192.380
durango,2010,51.600,864.160,41.100,688.650,10.500,175.510
guanajuato,2010,48.500,2703.740,40.100,2234.250,8.400,469.500
guerrero,2010,67.600,2329.960,35.700,1232.410,31.800,1097.560
hidalgo,2010,54.700,1477.050,41.200,1113.060,13.500,364.000
jalisco,2010,37.000,2766.650,31.800,2374.260,5.300,392.390
mexico,2010,42.900,6712.050,34.300,5370.830,8.600,1341.220
michoacan,2010,54.700,2424.840,41.200,1826.880,13.500,597.960
morelos,2010,43.200,782.170,36.300,656.740,6.900,125.430
nayarit,2010,41.400,461.240,33.000,368.560,8.300,92.680
nuevo_leon,2010,21.000,994.430,19.200,908.040,1.800,86.390
oaxaca,2010,67.000,2596.250,37.700,1462.780,29.200,1133.470
puebla,2010,61.500,3616.260,44.500,2614.540,17.000,1001.730
queretaro,2010,41.400,767.000,34.000,629.550,7.400,137.450
quintana_roo,2010,34.600,471.720,28.200,384.180,6.400,87.540
san_luis_potosi,2010,52.400,1375.300,37.100,972.730,15.300,402.570
sinaloa,2010,36.700,1048.640,31.200,892.370,5.500,156.280
sonora,2010,33.100,905.150,28.000,765.060,5.100,140.090
tabasco,2010,57.100,1291.600,43.500,984.730,13.600,306.870
tamaulipas,2010,39.000,1301.700,33.500,1118.320,5.500,183.380
tlaxcala,2010,60.300,718.970,50.400,600.780,9.900,118.190
veracruz,2010,57.600,4447.960,38.800,2998.960,18.800,1449.000
yucatan,2010,48.300,958.550,36.600,726.060,11.700,232.490
zacatecas,2010,60.200,911.500,49.400,747.440,10.800,164.050
