estado_1,anio,porcentaje_de_la_poblacion_en_pobreza,miles_de_personas_en_pobreza,porcentaje_de_la_poblacion_en_pobreza_moderada,miles_de_personas_en_pobreza_moderada,porcentaje_de_la_poblacion_en_pobreza_extrema,miles_de_personas_en_pobreza_extrema
aguascalientes,2014,34.800,442.870,32.700,416.160,2.100,26.710
baja_california,2014,28.600,984.950,25.500,879.400,3.100,105.550
baja_california_sur,2014,30.300,226.230,26.300,196.740,3.900,29.500
campeche,2014,43.600,390.960,32.500,291.730,11.100,99.230
coahuila,2014,30.200,885.790,26.400,776.080,3.700,109.710
colima,2014,34.300,244.940,30.900,220.580,3.400,24.360
chiapas,2014,76.200,3960.990,44.400,2306.630,31.800,1654.360
chihuahua,2014,34.400,1265.550,28.900,1065.230,5.400,200.320
ciudad_de_mexico,2014,28.400,2502.470,26.700,2351.940,1.700,150.530
durango,2014,43.500,761.240,38.200,668.250,5.300,93.000
guanajuato,2014,46.600,2683.280,41.000,2365.690,5.500,317.600
guerrero,2014,65.200,2315.420,40.800,1447.290,24.500,868.130
hidalgo,2014,54.300,1547.810,42.000,1197.360,12.300,350.460
jalisco,2014,35.400,2780.220,32.100,2527.000,3.200,253.230
mexico,2014,49.600,8269.850,42.400,7063.000,7.200,1206.850
michoacan,2014,59.200,2708.630,45.200,2066.780,14.000,641.850
morelos,2014,52.300,993.730,44.400,844.460,7.900,149.270
nayarit,2014,40.500,488.830,32.000,386.690,8.500,102.140
nuevo_leon,2014,20.400,1022.730,19.000,956.020,1.300,66.710
oaxaca,2014,66.800,2662.750,38.400,1532.450,28.300,1130.300
puebla,2014,64.500,3958.810,48.400,2967.490,16.200,991.320
queretaro,2014,34.200,675.680,30.300,599.560,3.900,76.120
quintana_roo,2014,35.900,553.020,28.900,445.450,7.000,107.560
san_luis_potosi,2014,49.100,1338.100,39.600,1079.630,9.500,258.470
sinaloa,2014,39.400,1167.070,34.100,1011.220,5.300,155.850
sonora,2014,29.400,852.080,26.100,756.490,3.300,95.590
tabasco,2014,49.600,1169.790,38.500,909.510,11.000,260.280
tamaulipas,2014,37.900,1330.710,33.600,1179.100,4.300,151.610
tlaxcala,2014,58.900,745.140,52.400,662.500,6.500,82.640
veracruz,2014,58.000,4634.240,40.900,3263.780,17.200,1370.460
yucatan,2014,45.900,957.910,35.200,734.690,10.700,223.210
zacatecas,2014,52.300,819.790,46.600,730.360,5.700,89.430
