ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2014,580,200,364,112,35649,16167,17481,8819,12267,6234,5880,3260,890,282,389,282,44619,14801,13758,14801,8917,3832,2730,1577
"BAJA CALIFORNIA",2014,1514,600,1027,538,55420,28895,35384,21391,18119,10605,11215,7842,1214,209,372,209,43929,12344,14047,12344,11824,3598,3510,1743
"BAJA CALIFORNIA SUR",2014,323,66,258,58,16207,5960,10042,5148,5808,2442,3332,1870,547,49,215,49,19817,5504,7140,5504,4920,1946,1926,1085
CAMPECHE,2014,348,88,185,54,38703,16372,13604,8146,16724,7034,5791,3482,544,91,293,91,26776,9159,11218,9159,9093,3243,3853,1548
CHIAPAS,2014,2852,1060,1277,589,132519,59524,43903,27731,42239,21278,14931,9232,1866,268,684,268,78080,15264,21026,15264,15060,2974,3585,1264
CHIHUAHUA,2014,1427,564,908,475,99308,56669,49155,35068,42754,27363,20525,16103,2060,483,738,483,111532,39739,32504,39739,31462,11698,9114,5308
COAHUILA,2014,395,184,160,86,21423,12774,7219,6145,6914,4576,2529,2470,570,171,218,171,19216,8369,4619,8369,4580,2121,1103,879
COLIMA,2014,380,130,213,79,25843,17552,13273,10959,9768,7984,4811,4770,372,110,153,110,20927,11892,7826,11892,6914,4578,2612,2483
"DISTRITO FEDERAL",2014,4501,2213,4125,1752,252976,155858,135810,79470,95615,68973,52062,34449,4594,872,1621,872,201473,69413,69490,69413,42351,19629,17424,7240
DURANGO,2014,354,133,219,120,37405,21110,17723,13983,16996,10440,7797,6579,820,153,248,153,50289,16607,14374,16607,16412,5939,5177,2634
GUANAJUATO,2014,2467,908,1456,653,191562,116912,96018,70063,117055,78692,57103,45317,1993,563,785,563,171214,83514,51378,83514,105437,55097,30886,21918
GUERRERO,2014,3018,1005,1409,677,240872,132416,96690,62718,91319,56355,37599,25045,4507,702,1257,702,191047,53563,55973,53563,48710,15911,13493,5989
