ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2018,321,102,161,73,28897,17339,9528,7305,9508,6826,3027,2985,348,74,106,74,25674,12327,5985,12327,5148,3391,1122,997
"BAJA CALIFORNIA",2018,1470,722,849,424,56540,36659,23969,20278,15789,11794,6362,6774,1297,397,482,397,48645,24223,14877,24223,9538,6572,2595,2384
"BAJA CALIFORNIA SUR",2018,610,220,361,143,18491,8003,7950,5002,4877,2402,2021,1670,696,147,261,147,18976,7162,6103,7162,3569,1953,861,788
CAMPECHE,2018,418,116,200,71,33441,17830,9447,7553,8087,5835,2866,2910,474,110,168,110,30985,13612,7750,13612,7574,4579,1911,1748
CHIAPAS,2018,928,317,286,180,112157,50178,26198,19007,23615,14096,6183,6003,657,150,142,150,60391,20297,11063,20297,14415,5783,2446,2041
CHIHUAHUA,2018,1877,760,919,505,99077,66583,37660,32374,23232,18920,8967,9260,2035,624,744,624,103739,53208,28198,53208,18709,13972,4284,4840
"CIUDAD DE MEXICO",2018,3101,1990,2175,1240,132929,121414,61680,53983,46081,50023,20532,21546,3049,1250,1148,1250,91911,65030,29269,65030,18441,17872,5415,4880
COAHUILA,2018,24,16,6,4,11133,6410,3157,2236,4627,3354,1237,1230,55,17,8,17,9611,4634,2076,4634,2262,1507,407,453
COLIMA,2018,558,278,329,206,27915,20634,10837,10907,8309,7616,3045,4138,576,168,220,168,25588,15688,7110,15688,6320,4895,1576,1739
DURANGO,2018,314,160,120,89,21700,14967,6789,7468,6816,5770,2282,2820,534,131,124,131,23256,12845,4925,12845,4837,3937,907,1447
