ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2010,707,220,413,149,23768,11096,10422,5782,8225,4432,3395,2170,881,187,250,187,25470,9375,6669,9375,6611,2671,1833,1228
"BAJA CALIFORNIA",2010,1540,536,1009,386,35470,18096,17587,11807,11951,6623,5820,4468,1254,255,376,255,21668,8176,6344,8176,5640,1940,1555,972
"BAJA CALIFORNIA SUR",2010,256,65,193,44,12239,4671,7508,3562,3339,1406,1909,1126,708,94,240,94,20933,4325,6362,4325,4126,1280,1407,660
CAMPECHE,2010,520,148,231,86,35996,14807,11595,7144,14795,6742,4903,3341,1450,206,573,206,28580,7426,7785,7426,7359,1660,2278,1082
CHIAPAS,2010,1965,703,854,349,90868,39274,28725,17273,23970,11775,8104,4851,3188,378,1308,378,57965,9152,17546,9152,7940,1145,1897,405
CHIHUAHUA,2010,2073,767,1258,563,69112,40432,32298,22114,26093,17434,11971,9459,2953,857,1144,857,78796,32954,24319,32954,21369,9485,6379,4832
COAHUILA,2010,332,84,108,67,23807,12767,6448,5453,8041,4740,2155,1984,670,178,175,178,21192,7895,4366,7895,5178,1844,997,776
COLIMA,2010,290,112,213,93,20616,14008,10313,8044,6338,5267,3285,3027,591,188,248,188,17539,9206,6217,9206,4432,2461,1508,1013
"DISTRITO FEDERAL",2010,2855,1299,2112,993,164664,110601,81435,52082,63305,46299,31240,21151,3893,835,1339,835,89630,30834,26688,30834,19899,7019,6291,2333
DURANGO,2010,485,163,270,131,29490,17155,12827,10778,13042,8130,5567,5063,1184,221,369,221,47484,15724,14246,15724,16520,4838,5071,2619
GUANAJUATO,2010,3061,1197,1777,816,152890,90074,62204,45373,88574,56286,35591,27867,3097,1053,1186,1053,148556,65628,40326,65628,82801,38148,21044,14650
GUERRERO,2010,2334,778,1161,484,200910,110101,78530,49956,70571,42863,29262,20424,3364,583,1024,583,138338,41802,38707,41802,28730,9324,7729,3598
HIDALGO,2010,1161,514,550,265,88542,57785,31764,23521,29974,23786,10816,9640,1957,526,580,526,76192,34814,18322,34814,14622,6978,3032,2347
JALISCO,2010,2295,989,1439,797,139218,98941,66585,57679,48190,35940,22086,21182,3465,689,1317,689,109695,47410,35678,47410,27147,11838,8765,5210
MEXICO,2010,8401,4499,4823,2485,309259,171704,139349,78713,104833,66050,48198,29530,5975,1042,2026,1042,144765,33483,45284,33483,23947,6430,8440,2485
MICHOACAN,2010,1345,697,772,430,88264,59276,36241,28671,28162,21492,11311,10519,1748,381,679,381,57821,19769,19131,19769,7046,3645,2175,1491
MORELOS,2010,1179,430,611,235,72444,37053,31799,17931,24231,13913,11148,7327,845,168,293,168,32258,10927,9483,10927,5055,1975,1514,807
NAYARIT,2010,413,165,265,140,31607,20469,14385,13275,8198,6140,3838,4112,1533,387,547,387,15936,6005,5415,6005,2240,1037,879,609
"NUEVO LEON",2010,1236,341,664,248,78606,48363,32055,23209,47289,29619,18475,13637,1803,466,616,466,34899,12830,12493,12830,20559,7067,6586,3474
OAXACA,2010,2061,677,1127,419,129326,63058,50642,29528,40846,21457,16545,10342,1756,172,595,172,57816,10936,15150,10936,5577,773,1537,288
PUEBLA,2010,1538,635,819,308,155830,92950,61872,40430,65498,41896,27413,19278,1427,354,474,354,56798,18165,17167,18165,15231,4113,4445,1565
QUERETARO,2010,1075,390,704,218,61837,32639,29027,13959,24503,13846,9893,5365,973,257,375,257,47247,18447,13527,18447,9502,4139,2426,1341
"QUINTANA ROO",2010,472,133,266,77,35928,15266,12396,7202,13562,6185,4622,3042,1317,139,631,139,30331,8224,8940,8224,12431,3593,3282,1403
"SAN LUIS POTOSI",2010,1528,628,959,407,111132,59074,43926,27982,50492,30052,18817,14045,3714,894,1463,894,114169,36172,38804,36172,34992,12347,12241,5244
SINALOA,2010,1842,931,1036,637,88772,58324,48959,38644,25679,15233,11029,9610,3264,1901,886,1901,129351,21988,36611,21988,22102,3469,4801,1707
SONORA,2010,1253,433,655,263,45005,23502,17474,13790,18498,10581,7046,5661,2263,373,787,373,42311,12454,11825,12454,12517,4926,3545,1940
TABASCO,2010,1388,323,693,219,143021,54537,56922,27707,76322,29175,29332,14399,2310,293,997,293,58153,13929,21477,13929,21812,5072,7227,2257
TAMAULIPAS,2010,1856,738,898,391,80380,42558,30614,22527,29981,17852,11856,9899,1874,389,637,389,51976,19505,17233,19505,18045,6653,5734,3218
TLAXCALA,2010,646,233,336,177,54292,34874,27387,20028,25366,17353,11790,9652,2376,471,969,471,57991,22560,22898,22560,16693,8001,7259,3768
VERACRUZ,2010,3666,1198,1787,740,316325,157661,102902,64419,82838,50014,31293,20803,2187,751,812,751,133626,43229,36987,43229,13299,5102,3890,2174
YUCATAN,2010,661,198,360,140,71661,37673,22520,14397,26818,16466,8958,6462,2295,526,834,526,72316,20512,20791,20512,19323,6588,4984,2816
ZACATECAS,2010,595,267,342,201,52295,36459,21236,18784,23831,18287,9762,9577,1446,432,476,432,79381,37387,23169,37387,21979,10884,6981,4693
