ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2012,608,223,389,163,29569,13583,14262,7523,10159,5440,4458,2481,775,160,262,160,33544,12191,9004,12191,8672,3473,2537,1350
"BAJA CALIFORNIA",2012,1646,572,1427,500,40154,17387,22574,13366,12674,5945,7178,4540,1870,283,664,283,30554,9582,9870,9582,8078,2438,2655,1355
"BAJA CALIFORNIA SUR",2012,385,60,307,65,14111,5548,8895,4474,4691,2061,2563,1615,417,61,166,61,18220,4849,6187,4849,4717,1638,1378,840
CAMPECHE,2012,535,118,232,71,38431,16208,13258,7703,15194,6477,5397,3252,603,93,282,93,28463,7561,9375,7561,6561,1782,2573,1084
CHIAPAS,2012,2856,1113,1111,578,117677,53336,38226,23138,36893,18786,12823,7918,1773,260,606,260,76513,12696,21282,12696,10433,1450,2600,718
CHIHUAHUA,2012,1765,701,1103,554,97868,55679,47880,31264,40950,25670,20082,14599,2343,551,891,551,102070,39879,32597,39879,24067,10295,7850,5870
COAHUILA,2012,398,165,195,83,24451,13899,6928,6037,9418,5535,2688,2649,636,151,267,151,21333,7837,4360,7837,5506,2035,1216,831
COLIMA,2012,468,124,269,123,28094,16933,14180,10328,9640,7243,4633,4683,455,86,213,86,23107,11786,9038,11786,8230,4967,3081,2281
"DISTRITO FEDERAL",2012,6633,4043,5082,2361,206542,130977,105976,65660,80362,59826,42648,27961,4539,891,1758,891,140060,48833,47750,48833,27455,11980,11694,4853
DURANGO,2012,492,156,291,147,36552,20755,16515,12511,14593,8844,6737,5520,1308,241,423,241,50797,14685,14798,14685,14920,4738,4649,2489
GUANAJUATO,2012,2789,1076,1664,751,180163,106573,84908,60782,109577,69314,50868,38051,2414,827,956,827,164636,79791,49010,79791,98562,49576,28784,19360
GUERRERO,2012,2308,846,1342,537,218006,119573,87848,55414,80158,48684,34116,22805,2859,545,1133,545,162952,46007,50002,46007,34943,11399,9839,4542
HIDALGO,2012,1604,888,760,463,102955,68856,38456,29000,36184,29251,13251,12473,1851,428,563,428,86946,39569,22850,39569,18384,8942,4231,3146
JALISCO,2012,2284,1038,1386,835,155175,108129,77714,66509,60417,45377,29775,27299,2168,579,839,579,136857,62181,45324,62181,41057,19996,13462,8273
MEXICO,2012,9809,4532,5686,2699,400671,222947,197007,113137,138054,87059,65149,40580,7306,1367,3100,1367,200994,55926,66217,55926,42184,13357,14696,4675
MICHOACAN,2012,1584,722,828,485,95062,62328,40044,31486,30179,21837,12735,11451,1941,389,717,389,76142,28345,24518,28345,11868,5158,3867,2406
MORELOS,2012,989,393,608,251,83897,41658,37912,21949,26299,16260,13071,8763,650,185,239,185,43681,11035,10581,11035,6750,2797,2446,1092
NAYARIT,2012,385,165,237,126,33518,21361,15718,13517,10099,7234,4808,4237,601,233,292,233,22272,9497,7255,9497,3224,1464,1217,819
"NUEVO LEON",2012,1500,361,857,271,92554,53865,41104,27483,55640,32805,23853,15632,1929,416,660,416,50155,17919,17537,17919,26855,9108,9043,4223
OAXACA,2012,2114,667,1068,416,159407,79946,64970,38084,53546,29741,22581,13795,1678,328,626,328,84197,20858,24628,20858,9404,2428,2690,844
PUEBLA,2012,2519,905,1246,467,188872,119622,77676,50610,81922,55898,34978,25221,2530,922,1092,922,76294,30261,25996,30261,18488,5783,4982,2495
QUERETARO,2012,1021,349,655,220,73304,41194,36950,18117,30402,17803,13503,7226,1129,382,398,382,59946,25528,18524,25528,14918,6937,4061,2228
"QUINTANA ROO",2012,745,185,446,134,44812,18637,15718,9007,14688,6982,5157,3180,779,121,344,121,36371,10192,11080,10192,9789,3071,2835,1476
"SAN LUIS POTOSI",2012,1673,610,949,426,133244,72630,53657,35979,67799,40444,27069,19383,2025,296,789,296,133647,40804,49324,40804,57643,18587,21983,7901
SINALOA,2012,2791,1291,1613,918,89245,59406,45477,40010,32181,22164,14701,13692,27554,3657,8951,3657,337014,54313,101705,54313,49596,9201,11263,4614
SONORA,2012,1405,412,680,313,62700,34086,25468,19975,25042,13283,8730,7285,2330,463,719,463,57296,16906,15716,16906,14586,4889,3747,2300
TABASCO,2012,1624,370,777,201,155000,61578,59669,29169,79057,30027,29462,14710,1909,303,874,303,72654,17729,29845,17729,24207,6270,10062,3100
TAMAULIPAS,2012,2209,799,1159,461,119685,60772,52338,34025,68259,35947,28876,19614,4392,793,1686,793,103646,38801,36232,38801,54934,18221,17824,9578
TLAXCALA,2012,614,180,362,109,63239,39438,31700,21356,31130,21614,15096,11689,563,113,292,113,71565,25805,28484,25805,27828,11511,12091,5480
VERACRUZ,2012,3986,1246,1697,678,334334,175665,109069,72334,95925,59341,33793,24845,2050,814,657,814,132606,49656,38007,49656,14981,6826,4821,2803
YUCATAN,2012,503,132,259,102,75178,40173,25573,15733,28015,17645,10008,7144,1081,279,443,279,78960,26180,25595,26180,21272,7537,6005,3755
ZACATECAS,2012,860,385,460,267,61869,44854,27681,24874,26322,20232,10873,11025,1452,402,496,402,86587,39970,25189,39970,23277,12496,7597,5250
