ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2013,570,203,360,102,31920,15133,16102,8364,11381,6299,5399,3191,1234,241,422,241,37248,12884,10630,12884,8914,4074,2744,1504
"BAJA CALIFORNIA",2013,1572,589,1091,476,56527,26948,35930,19470,18355,9815,10888,6916,1704,314,657,314,46003,13412,15174,13412,12447,4075,3953,1858
"BAJA CALIFORNIA SUR",2013,344,52,248,67,14145,5471,9132,4531,5293,2531,3095,1770,592,81,256,81,19515,5768,7053,5768,5439,2116,1892,1262
CAMPECHE,2013,439,140,235,78,38982,15978,13586,7418,16397,6947,5657,3457,479,100,228,100,26765,9484,10108,9484,8908,2764,3770,1587
CHIAPAS,2013,2853,1056,1200,585,127276,62518,42771,25513,42183,21402,14679,8661,2077,351,714,351,79488,15767,22775,15767,13854,2744,4065,1133
CHIHUAHUA,2013,1679,672,1044,534,100919,57878,48716,33462,41766,26093,19523,15080,2129,648,730,648,113464,40933,32808,40933,29945,11149,8868,5470
COAHUILA,2013,426,187,210,91,22531,13219,7260,5953,8467,5580,2950,2630,855,243,311,243,18882,7612,4146,7612,5462,2018,1232,814
COLIMA,2013,270,98,208,92,28640,18445,15363,11100,10243,8249,5412,5080,508,98,217,98,25396,13928,9780,13928,8895,5789,3294,2700
"DISTRITO FEDERAL",2013,4214,2125,3147,1368,224750,139980,117622,70359,87446,65271,46944,30520,5608,1020,1965,1020,183690,57876,58455,57876,35667,16237,14993,6610
DURANGO,2013,330,168,203,125,39345,23159,17816,14468,18906,11737,8513,7112,1062,197,336,197,51775,17867,16309,17867,19405,6950,6634,3359
GUANAJUATO,2013,2365,904,1474,732,192169,117048,95619,69497,114344,76156,55132,43106,1840,634,755,634,170791,83571,51062,83571,102963,54084,29912,20663
GUERRERO,2013,2568,799,1305,648,228330,125942,96112,58694,85703,52904,36983,23863,3031,539,1024,539,172715,49873,53388,49873,43331,14230,12477,5836
HIDALGO,2013,1765,953,765,509,108576,74513,40523,32153,38161,32198,15063,14411,1882,539,513,539,86785,40984,22422,40984,20172,10236,4413,3529
JALISCO,2013,2303,898,1522,827,159975,111356,83913,71233,64821,50328,31549,29506,2012,638,657,638,138431,68295,45313,68295,43350,23095,14433,9151
