ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2017,431,146,167,95,37240,22623,12397,9562,13068,10144,4311,4061,404,96,123,96,34405,16209,7877,16209,6399,3960,1338,1087
"BAJA CALIFORNIA",2017,1065,528,602,343,43432,27139,18454,15319,11480,8279,4850,4935,854,334,352,334,38647,18504,11618,18504,6685,4386,1736,1684
"BAJA CALIFORNIA SUR",2017,693,186,398,152,22203,9468,9728,5734,4941,2401,1943,1615,826,154,347,154,22738,8384,7202,8384,3816,2159,1013,696
CAMPECHE,2017,419,156,216,82,40239,22209,11487,9267,9086,6765,3371,3290,467,129,168,129,37087,16193,9128,16193,9036,5126,2149,1948
CHIAPAS,2017,1001,356,363,162,94255,45283,22396,16843,18191,12044,4951,5027,628,155,163,155,47130,16482,8646,16482,9861,4457,1736,1488
CHIHUAHUA,2017,1588,732,833,463,82019,55888,31250,28105,16377,13514,6362,6774,1590,493,581,493,80923,41901,21581,41901,13389,9681,2935,3355
COAHUILA,2017,102,42,27,15,13963,8182,3668,3028,4993,3555,1236,1410,75,26,24,26,11113,5213,2029,5213,2237,1515,348,464
COLIMA,2017,497,238,313,169,27768,20600,10774,10733,7604,6671,2654,3665,457,222,201,222,25844,15959,7341,15959,5710,4197,1462,1584
"DISTRITO FEDERAL",2017,3291,2159,2558,1431,117164,108078,54041,47165,41770,45723,19132,20018,3466,1421,1461,1421,78989,56261,25297,56261,13891,13409,4217,3742
DURANGO,2017,276,153,107,79,19165,13077,6268,6470,6081,4994,2275,2566,330,122,100,122,20719,10967,5098,10967,4423,2922,1070,1080
