ENTIDAD,ANIO,DIABETES_INGRESOS_MUJER_20_A_59,DIABETES_INGRESOS_MUJER_60_MAS,DIABETES_INGRESOS_HOMBRE_20_A_59,DIABETES_INGRESOS_HOMBRE_60_MAS,DIABETES_TRATAMIENTO_MUJER_20_A_59,DIABETES_TRATAMIENTO_MUJER_60_MAS,DIABETES_TRATAMIENTO_HOMBRE_20_A_59,DIABETES_TRATAMIENTO_HOMBRE_60_MAS,DIABETES_CONTROLADOS_MUJER_20_A_59,DIABETES_CONTROLADOS_MUJER_60_MAS,DIABETES_CONTROLADOS_HOMBRE_20_A_59,DIABETES_CONTROLADOS_HOMBRE_60_MAS,OBESIDAD_INGRESOS_MUJER_20_A_59,OBESIDAD_INGRESOS_MUJER_60_MAS,OBESIDAD_INGRESOS_HOMBRE_20_A_59,OBESIDAD_INGRESOS_HOMBRE_60_MAS,OBESIDAD_TRATAMIENTO_MUJER_20_A_59,OBESIDAD_TRATAMIENTO_MUJER_60_MAS,OBESIDAD_TRATAMIENTO_HOMBRE_20_A_59,OBESIDAD_TRATAMIENTO_HOMBRE_60_MAS,OBESIDAD_CONTROLADOS_MUJER_20_A_59,OBESIDAD_CONTROLADOS_MUJER_60_MAS,OBESIDAD_CONTROLADOS_HOMBRE_20_A_59,OBESIDAD_CONTROLADOS_HOMBRE_60_MAS
AGUASCALIENTES,2016,320,122,165,64,30953,19907,10557,7728,11604,9271,3628,3533,320,91,109,91,29830,15050,6789,15050,4563,3341,1071,840
"BAJA CALIFORNIA",2016,1159,547,623,360,36401,21586,15118,12415,8939,6770,3705,3975,1086,355,382,355,35950,14972,9912,14972,4990,3047,1376,1279
"BAJA CALIFORNIA SUR",2016,571,163,355,110,17101,7731,7860,4653,2700,1366,1352,923,562,114,267,114,17210,6552,5433,6552,2594,1558,771,459
CAMPECHE,2016,474,180,257,129,35260,19902,9930,8473,5701,4382,1931,2180,614,180,237,180,31184,14079,7643,14079,5923,3511,1341,1313
CHIAPAS,2016,1309,577,480,276,79715,41581,19884,15228,15866,11207,4817,4444,731,207,166,207,41595,15054,7529,15054,6681,3335,1211,954
CHIHUAHUA,2016,1465,682,786,453,72827,51227,28597,26158,13966,12198,5523,6146,1466,478,538,478,66300,34960,17649,34960,8975,6504,1958,2439
COAHUILA,2016,105,50,27,24,11729,7226,3059,2619,3549,2885,934,1075,83,32,21,32,9271,4341,1668,4341,1222,915,230,278
COLIMA,2016,374,154,238,120,23504,17900,8952,8770,6646,6269,2200,3116,452,111,190,111,22293,13785,6218,13785,4012,3232,1100,1128
"DISTRITO FEDERAL",2016,2693,1909,3095,1488,74519,67479,34320,29571,23452,24736,11776,11197,2114,868,773,868,47305,33109,14672,33109,6472,6153,1985,1707
DURANGO,2016,303,110,129,72,24737,14067,10189,8496,9364,6057,3764,3518,273,64,87,64,24400,10591,6082,10591,5775,2506,1398,911
GUANAJUATO,2016,2205,1071,1256,714,276068,216970,96506,97932,78785,76910,28780,35214,2268,907,895,907,283264,193137,73150,193137,51398,46330,14122,14440
GUERRERO,2016,1260,496,567,304,130304,78271,38906,30351,31186,25623,10272,10707,1001,214,293,214,99371,34889,22305,34889,18330,8057,4272,2770
HIDALGO,2016,1122,580,586,304,108762,83138,34482,31335,32859,32250,10798,12101,891,348,266,348,47977,28004,11326,28004,9852,8181,2446,2150
JALISCO,2016,1661,950,922,645,130561,119131,51564,61476,46183,50150,17805,25597,1900,731,683,731,125975,88236,35838,88236,21211,19473,5986,7515
MEXICO,2016,4799,2767,2507,1428,264192,207757,96111,81421,63866,58826,23424,23188,3182,1478,982,1478,150831,98273,36230,98273,25609,23265,5456,5659
MICHOACAN,2016,885,429,425,279,50760,39215,16439,15964,13953,13579,4731,5824,1107,313,359,313,48085,28196,11360,28196,7396,6284,1754,1839
MORELOS,2016,1230,706,756,400,55704,39692,22022,17043,13716,12445,5474,5624,712,284,269,284,26322,14887,7129,14887,4198,3396,1114,990
NAYARIT,2016,748,504,308,295,24634,22053,8219,11269,8229,9442,2956,4827,609,228,196,228,19429,11358,4895,11358,3118,2543,732,1145
"NUEVO LEON",2016,871,416,442,205,46068,30608,15942,12315,15988,12575,5560,5008,815,332,282,332,29367,14554,7448,14554,4416,2830,1100,830
