estado_1,anio,miles_personas,miles_personas_carencia_acceso_servicios_salud,miles_personas_carencia_acceso_seguridad_social,miles_personas_carencia_acceso_alimentacion,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre,miles_personas_ingreso_inferior_linea_pobreza_ingre
aguascalientes,2010,1198.080,235.960,590.190,242.190,177.900,553.710
baja_california,2010,3235.370,1014.490,1768.260,529.390,316.710,1225.220
baja_california_sur,2010,654.840,132.140,300.820,170.470,73.540,232.700
campeche,2010,842.090,161.830,505.030,262.590,182.030,461.670
coahuila,2010,2790.030,490.160,957.060,579.490,319.580,1134.740
colima,2010,663.720,108.890,370.110,131.820,56.790,262.690
chiapas,2010,4926.280,1743.310,4057.790,1493.250,2507.060,3983.040
chihuahua,2010,3534.390,654.750,1710.880,624.940,585.200,1829.430
ciudad_mexico,2010,8888.530,2885.400,4656.610,1381.270,532.160,3018.650
durango,2010,1675.560,460.310,983.010,339.520,391.390,1010.880
guanajuato,2010,5573.310,1408.560,3663.340,1323.310,917.440,3019.480
guerrero,2010,3448.190,1342.090,2706.520,1471.470,1336.510,2398.170
hidalgo,2010,2701.840,804.600,1940.760,783.630,641.790,1589.790
jalisco,2010,7467.400,2380.480,4134.530,1643.650,1098.250,3232.600
mexico,2010,15648.940,4807.440,9235.520,4938.930,2261.340,7590.830
michoacan,2010,4430.690,1694.680,3200.880,1277.920,956.990,2617.380
morelos,2010,1808.800,541.400,1168.350,397.270,251.560,887.760
nayarit,2010,1115.260,254.710,688.510,263.580,198.230,509.390
nuevo_leon,2010,4731.410,880.270,1759.380,740.890,285.520,1382.750
oaxaca,2010,3875.730,1492.450,3077.670,1022.800,1403.090,2646.410
puebla,2010,5881.720,2378.500,4250.470,1620.910,1626.760,3943.710
queretaro,2010,1852.180,408.740,1122.540,393.830,297.060,859.970
quintana_roo,2010,1362.300,331.260,732.470,297.090,164.220,536.280
san_luis_potosi,2010,2624.590,499.460,1503.890,789.710,681.950,1564.430
sinaloa,2010,2859.780,610.610,1533.120,701.210,405.440,1268.450
sonora,2010,2730.570,619.950,1260.840,704.300,296.620,1092.090
tabasco,2010,2262.150,540.830,1657.050,753.670,506.260,1385.060
tamaulipas,2010,3341.870,700.080,1708.050,454.980,484.040,1614.530
tlaxcala,2010,1192.070,398.320,844.470,287.860,320.040,806.890
veracruz,2010,7724.960,2698.820,5348.110,2016.960,2145.480,4797.700
yucatan,2010,1983.720,410.730,1127.950,424.320,354.870,1086.260
zacatecas,2010,1512.920,386.570,1006.960,376.580,448.900,1015.410
