estado_1,anio,miles_personas,miles_personas_carencia_acceso_servicios_salud,miles_personas_carencia_acceso_seguridad_social,miles_personas_carencia_acceso_alimentacion,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre,miles_personas_ingreso_inferior_linea_pobreza_ingre
aguascalientes,2014,1273.850,159.030,550.190,274.530,164.400,556.470
baja_california,2014,3444.110,666.610,1785.590,591.840,334.050,1211.650
baja_california_sur,2014,747.570,106.270,348.570,183.650,78.950,268.090
campeche,2014,896.950,111.850,539.460,217.610,172.200,426.810
coahuila,2014,2935.850,457.140,1003.980,646.780,346.350,1211.110
colima,2014,713.150,90.540,370.200,181.460,75.400,290.290
chiapas,2014,5197.570,1073.410,4301.420,1430.540,2518.630,4090.770
chihuahua,2014,3679.910,536.190,1595.770,687.970,657.040,1706.050
ciudad_mexico,2014,8820.100,1759.120,4081.800,1031.500,723.320,3208.630
durango,2014,1751.420,289.730,897.710,349.250,363.380,944.870
guanajuato,2014,5763.680,888.580,3334.470,1322.270,1032.460,3177.790
guerrero,2014,3550.280,683.240,2772.740,1365.410,1263.110,2409.400
hidalgo,2014,2850.300,493.520,1963.860,903.030,703.520,1693.310
jalisco,2014,7860.750,1501.650,3896.910,1299.270,880.800,3399.800
mexico,2014,16673.090,3280.350,10108.620,3550.290,3346.830,9823.910
michoacan,2014,4571.740,1198.170,3258.000,1584.630,1116.640,2895.060
morelos,2014,1901.080,316.080,1258.420,510.450,390.340,1110.490
nayarit,2014,1206.880,196.270,655.990,291.300,226.900,567.420
nuevo_leon,2014,5021.730,686.310,1679.070,710.910,319.940,1480.970
oaxaca,2014,3989.130,794.910,3107.860,1440.290,1679.670,2746.330
puebla,2014,6134.170,1298.890,4610.060,1463.200,1953.950,4272.890
queretaro,2014,1977.100,312.750,1073.820,311.820,242.680,830.430
quintana_roo,2014,1541.200,284.570,793.520,358.200,220.420,649.350
san_luis_potosi,2014,2725.180,291.940,1610.990,589.940,632.710,1546.280
sinaloa,2014,2964.400,450.460,1462.470,878.550,399.200,1371.640
sonora,2014,2902.360,418.510,1213.260,721.540,281.130,1062.990
tabasco,2014,2359.840,399.390,1716.720,1062.550,421.730,1225.210
tamaulipas,2014,3508.920,527.130,1597.330,684.520,566.360,1724.490
tlaxcala,2014,1264.500,221.050,903.710,303.500,342.060,842.020
veracruz,2014,7989.350,1736.330,5469.160,2396.570,2331.630,5035.140
yucatan,2014,2088.930,302.420,1137.410,383.820,432.730,1103.190
zacatecas,2014,1566.100,232.720,992.430,263.600,418.280,934.510
