estado_1,anio,miles_personas,miles_personas_carencia_acceso_servicios_salud,miles_personas_carencia_acceso_seguridad_social,miles_personas_carencia_acceso_alimentacion,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre,miles_personas_ingreso_inferior_linea_pobreza_ingre
aguascalientes,2016,1309.930,159.040,529.370,225.240,125.290,508.800
baja_california,2016,3549.320,613.810,1525.500,530.550,190.370,1028.040
baja_california_sur,2016,793.830,98.940,317.230,152.380,48.520,226.850
campeche,2016,925.420,99.420,545.790,236.830,145.930,449.420
coahuila,2016,3005.810,384.740,918.970,484.670,264.910,1137.600
colima,2016,739.450,87.740,352.930,156.290,59.130,300.100
chiapas,2016,5337.150,802.620,4328.450,1036.920,2662.370,4259.500
chihuahua,2016,3757.010,459.740,1523.140,683.280,419.600,1567.820
ciudad_mexico,2016,8821.850,1732.140,4150.230,1014.220,665.270,3033.700
durango,2016,1787.490,251.900,876.600,332.250,228.800,811.210
guanajuato,2016,5877.530,790.280,3203.170,1162.140,916.450,2971.780
guerrero,2016,3593.870,478.770,2657.540,1000.330,1264.800,2430.320
hidalgo,2016,2921.430,421.560,2106.150,714.580,532.860,1614.840
jalisco,2016,8048.630,1415.140,3952.350,1239.900,620.260,3187.080
mexico,2016,17190.720,2668.250,9535.080,3572.730,2889.830,9874.180
michoacan,2016,4636.710,1056.080,3193.180,1202.040,973.720,2785.170
morelos,2016,1949.460,293.250,1211.230,380.120,319.950,1120.620
nayarit,2016,1252.830,188.540,698.840,249.700,205.780,545.000
nuevo_leon,2016,5178.910,690.060,1742.040,744.670,160.260,1013.690
oaxaca,2016,4044.460,642.080,3151.670,1268.860,1625.960,2941.500
puebla,2016,6272.190,1090.000,4340.060,1260.490,1449.820,4117.460
queretaro,2016,2042.730,269.120,989.400,273.230,203.290,818.150
quintana_roo,2016,1632.900,287.830,799.920,267.700,151.180,541.450
san_luis_potosi,2016,2784.950,253.150,1549.460,559.930,568.620,1489.380
sinaloa,2016,3017.800,368.470,1349.200,686.240,263.100,1153.620
sonora,2016,2983.910,438.290,1229.360,625.580,224.260,1075.840
tabasco,2016,2415.040,323.850,1618.090,1093.670,472.610,1290.730
tamaulipas,2016,3594.960,458.520,1520.850,691.810,433.700,1519.090
tlaxcala,2016,1300.860,162.940,861.530,288.240,254.690,809.080
veracruz,2016,8123.400,1578.290,5524.160,1804.350,2482.980,5453.480
yucatan,2016,2153.880,310.410,1166.860,415.320,253.620,1025.550
zacatecas,2016,1592.270,182.750,962.390,239.860,334.420,922.170
