estado_1,anio,miles_personas,miles_personas_carencia_acceso_servicios_salud,miles_personas_carencia_acceso_seguridad_social,miles_personas_carencia_acceso_alimentacion,miles_personas_ingreso_inferior_linea_pobreza_extrema_ingre,miles_personas_ingreso_inferior_linea_pobreza_ingre
aguascalientes,2012,1238.280,182.750,589.790,266.330,184.040,592.990
baja_california,2012,3343.790,746.280,1862.720,509.860,365.140,1298.110
baja_california_sur,2012,701.790,106.160,305.440,153.620,91.620,266.850
campeche,2012,868.480,105.900,530.130,162.740,178.590,436.280
coahuila,2012,2862.140,412.300,982.540,606.030,333.400,1164.070
colima,2012,689.210,100.540,349.910,153.610,78.600,280.380
chiapas,2012,5064.200,1263.140,4217.850,1252.370,2365.220,3869.950
chihuahua,2012,3610.060,489.670,1747.910,663.910,575.590,1659.620
ciudad_mexico,2012,8874.780,2072.820,4660.200,1157.520,609.960,3150.430
durango,2012,1715.360,305.650,993.710,367.380,428.510,1049.550
guanajuato,2012,5680.320,1081.760,3526.960,1617.070,958.180,2802.490
guerrero,2012,3505.080,889.680,2752.730,1382.260,1581.750,2521.770
hidalgo,2012,2777.760,518.270,1981.440,693.910,659.860,1549.440
jalisco,2012,7667.910,1819.440,4102.830,1579.850,1249.060,3670.570
mexico,2012,16165.950,4097.670,10468.480,2858.040,2577.980,8591.810
michoacan,2012,4502.200,1285.980,3225.630,1450.520,1091.640,2605.350
morelos,2012,1855.790,413.840,1194.750,570.040,278.800,928.880
nayarit,2012,1162.300,212.950,727.120,334.550,271.920,618.200
nuevo_leon,2012,4873.250,755.250,1802.720,860.040,429.090,1543.270
oaxaca,2012,3930.740,823.380,2975.010,1244.620,1351.670,2499.680
puebla,2012,6015.350,1783.460,4637.570,1813.370,1981.610,4132.000
queretaro,2012,1916.290,296.760,1087.260,380.380,280.750,830.440
quintana_roo,2012,1452.040,308.520,796.920,270.380,240.490,653.170
san_luis_potosi,2012,2679.770,376.010,1650.240,661.860,623.310,1529.980
sinaloa,2012,2911.100,482.330,1534.170,753.010,389.670,1241.220
sonora,2012,2820.400,481.850,1319.810,733.950,286.390,954.310
tabasco,2012,2313.140,420.500,1646.150,773.380,546.470,1218.930
tamaulipas,2012,3429.730,540.510,1735.490,657.260,510.070,1618.660
tlaxcala,2012,1229.940,297.410,870.550,349.360,299.850,786.100
veracruz,2012,7867.440,2018.890,5386.870,2218.900,1890.250,4455.280
yucatan,2012,2040.410,320.670,1199.200,512.280,339.090,1124.430
zacatecas,2012,1541.160,258.090,970.120,343.830,466.320,934.360
