estado_1,anio,porcentaje_poblacion_vulnerable_carencias_sociales,miles_personas_vulnerables_carencias_sociales,porcentaje_poblacion_vulnerable_ingresos,miles_personas_vulnerables_ingresos_2018,porcentaje_poblacion_no_pobre_y_no_vulnerable_2018,miles_personas_no_pobresy_no_vulnerables_2018
aguascalientes,2018,29.600,397.760,10.300,138.030,33.900,455.260
baja_california,2018,39.800,1450.780,6.800,246.420,30.200,1102.480
baja_california_sur,2018,43.300,363.470,4.700,39.180,34.000,285.280
campeche,2018,31.800,303.180,4.600,43.760,17.300,164.920
coahuila,2018,27.400,840.680,11.300,346.000,38.900,1195.700
colima,2018,35.200,268.850,5.400,41.280,28.500,217.550
chiapas,2018,15.000,821.970,2.500,136.850,6.000,329.920
chihuahua,2018,32.100,1228.360,10.200,391.920,31.400,1200.880
ciudad_mexico,2018,28.400,2490.790,7.800,681.700,33.300,2926.100
durango,2018,27.100,492.860,10.300,186.900,25.300,460.950
guanajuato,2018,29.400,1755.040,7.500,445.580,19.700,1176.510
guerrero,2018,23.200,843.290,3.000,110.380,7.300,263.160
hidalgo,2018,38.900,1162.110,3.800,113.610,13.500,403.480
jalisco,2018,36.500,3002.680,7.700,629.720,27.400,2252.650
mexico,2018,28.100,4968.370,8.700,1541.380,20.400,3610.480
michoacan,2018,34.800,1634.380,4.900,228.650,14.300,670.320
morelos,2018,29.400,586.830,5.700,114.420,14.000,279.550
nayarit,2018,35.900,466.110,4.900,63.510,24.400,316.370
nuevo_leon,2018,34.400,1832.750,6.600,350.080,44.500,2365.440
oaxaca,2018,22.500,920.900,2.600,107.800,8.500,347.980
puebla,2018,23.200,1483.930,6.100,391.200,11.700,749.300
queretaro,2018,38.000,798.400,6.300,133.220,28.100,589.190
quintana_roo,2018,41.200,709.990,4.100,70.450,27.100,467.290
san_luis_potosi,2018,27.700,784.800,7.400,208.860,21.500,609.200
sinaloa,2018,34.500,1059.090,6.500,198.540,28.100,861.940
sonora,2018,30.100,921.280,8.700,267.130,33.000,1010.520
tabasco,2018,33.400,821.750,2.500,62.150,10.400,256.810
tamaulipas,2018,25.700,943.410,13.200,485.360,26.000,955.670
tlaxcala,2018,28.600,381.950,7.600,101.930,15.400,205.170
veracruz,2018,21.100,1742.000,6.100,506.290,10.900,899.880
yucatan,2018,33.300,734.720,5.500,120.860,20.400,451.100
zacatecas,2018,28.700,463.900,7.700,124.830,16.800,271.090
