estado_1,anio,porcentaje_poblacion_vulnerable_carencias_sociales,miles_personas_vulnerables_carencias_sociales,porcentaje_poblacion_vulnerable_ingresos,miles_personas_vulnerables_ingresos_2016,porcentaje_poblacion_no_pobre_y_no_vulnerable_2016,miles_personas_no_pobresy_no_vulnerables_2016
aguascalientes,2016,28.000,366.360,10.600,139.150,33.200,434.770
baja_california,2016,38.000,1349.740,6.700,238.930,33.000,1171.540
baja_california_sur,2016,37.800,300.350,6.500,51.200,33.600,266.630
campeche,2016,31.300,289.960,4.800,44.380,20.100,186.050
coahuila,2016,25.000,750.220,13.000,391.700,37.200,1118.000
colima,2016,31.300,231.630,7.000,51.410,28.100,207.720
chiapas,2016,13.800,736.440,2.700,145.550,6.400,341.210
chihuahua,2016,27.300,1026.520,11.100,417.860,30.900,1162.680
ciudad_mexico,2016,28.900,2548.610,6.800,599.280,36.700,3239.530
durango,2016,29.900,534.200,9.400,167.910,24.700,442.090
guanajuato,2016,30.000,1760.650,8.200,482.060,19.500,1145.100
guerrero,2016,23.800,856.090,3.200,115.600,8.600,307.460
hidalgo,2016,31.900,932.030,4.700,136.000,12.800,374.560
jalisco,2016,32.600,2621.490,7.800,626.490,27.800,2240.070
mexico,2016,21.300,3665.190,9.600,1643.980,21.200,3651.350
michoacan,2016,27.800,1290.050,4.700,219.310,12.100,561.490
morelos,2016,24.400,475.570,7.900,154.760,18.100,353.280
nayarit,2016,31.400,393.720,6.000,74.870,25.100,314.110
nuevo_leon,2016,34.600,1790.540,5.300,275.930,45.900,2374.680
oaxaca,2016,19.900,805.580,2.300,94.160,7.400,297.380
puebla,2016,21.500,1347.220,6.200,389.260,12.900,807.520
queretaro,2016,32.000,653.730,8.900,182.470,27.900,570.850
quintana_roo,2016,38.400,627.150,4.300,70.410,28.400,464.310
san_luis_potosi,2016,24.600,685.970,8.000,221.650,21.900,609.610
sinaloa,2016,32.800,991.200,7.400,223.930,28.900,872.980
sonora,2016,30.900,922.740,8.200,244.410,33.000,985.330
tabasco,2016,35.400,855.840,2.600,62.640,11.100,268.470
tamaulipas,2016,28.600,1027.020,10.100,362.870,29.200,1048.850
tlaxcala,2016,24.400,317.710,8.200,107.320,13.400,174.070
veracruz,2016,19.900,1619.660,5.000,403.970,12.900,1050.260
yucatan,2016,32.500,699.420,5.700,123.690,19.900,428.910
zacatecas,2016,24.400,388.160,8.900,141.900,17.700,281.940
