estado_1,anio,porcentaje_poblacion_vulnerable_carencias_sociales,miles_personas_vulnerables_carencias_sociales,porcentaje_poblacion_vulnerable_ingresos,miles_personas_vulnerables_ingresos_2014,porcentaje_poblacion_no_pobre_y_no_vulnerable_2014,miles_personas_no_pobresy_no_vulnerables_2014
aguascalientes,2014,25.300,322.420,8.900,113.610,31.000,394.960
baja_california,2014,38.300,1319.550,6.600,226.700,26.500,912.910
baja_california_sur,2014,34.400,256.890,5.600,41.860,29.800,222.580
campeche,2014,32.100,287.490,4.000,35.860,20.400,182.650
coahuila,2014,24.200,710.670,11.100,325.320,34.500,1014.070
colima,2014,33.200,236.630,6.400,45.350,26.100,186.240
chiapas,2014,15.300,793.330,2.500,129.780,6.000,313.470
chihuahua,2014,25.800,949.490,12.000,440.500,27.800,1024.380
ciudad_mexico,2014,28.000,2465.460,8.000,706.160,35.700,3146.010
durango,2014,24.300,425.430,10.500,183.630,21.800,381.110
guanajuato,2014,27.700,1594.840,8.600,494.500,17.200,991.060
guerrero,2014,26.200,928.600,2.600,93.980,6.000,212.270
hidalgo,2014,25.800,735.630,5.100,145.500,14.800,421.350
jalisco,2014,29.600,2328.450,7.900,619.580,27.100,2132.500
mexico,2014,23.700,3944.780,9.300,1554.050,17.400,2904.400
michoacan,2014,25.000,1142.440,4.100,186.420,11.700,534.240
morelos,2014,25.700,489.400,6.100,116.760,15.800,301.180
nayarit,2014,29.400,355.390,6.500,78.590,23.500,284.080
nuevo_leon,2014,28.000,1406.730,9.100,458.230,42.500,2134.040
oaxaca,2014,23.300,927.920,2.100,83.580,7.900,314.890
puebla,2014,19.800,1217.490,5.100,314.080,10.500,643.800
queretaro,2014,33.100,654.170,7.800,154.750,24.900,492.510
quintana_roo,2014,34.200,526.330,6.300,96.340,23.700,365.510
san_luis_potosi,2014,24.300,662.310,7.600,208.180,19.000,516.580
sinaloa,2014,30.400,900.250,6.900,204.580,23.400,692.500
sonora,2014,32.100,930.590,7.300,210.910,31.300,908.780
tabasco,2014,37.500,883.850,2.300,55.420,10.600,250.780
tamaulipas,2014,24.400,855.040,11.200,393.780,26.500,929.400
tlaxcala,2014,22.600,285.290,7.700,96.890,10.800,137.190
veracruz,2014,24.800,1978.730,5.000,400.900,12.200,975.480
yucatan,2014,27.700,578.270,7.000,145.280,19.500,407.470
zacatecas,2014,24.400,381.750,7.300,114.720,16.000,249.840
