estado_1,anio,porcentaje_poblacion_vulnerable_carencias_sociales,miles_personas_vulnerables_carencias_sociales,porcentaje_poblacion_vulnerable_ingresos,miles_personas_vulnerables_ingresos_2010,porcentaje_poblacion_no_pobre_y_no_vulnerable_2010,miles_personas_no_pobresy_no_vulnerables_2010
aguascalientes,2010,26.200,314.040,8.100,96.870,27.600,330.340
baja_california,2010,37.900,1225.830,6.300,205.420,24.200,784.320
baja_california_sur,2010,32.500,213.120,4.500,29.740,31.900,209.010
campeche,2010,24.900,209.860,4.300,36.380,20.300,170.550
coahuila,2010,25.600,713.940,12.900,358.810,33.700,941.350
colima,2010,33.800,224.030,4.900,32.430,26.700,177.000
chiapas,2010,13.000,641.360,2.400,116.720,6.100,301.890
chihuahua,2010,22.800,806.480,13.000,457.860,25.400,898.480
ciudad_mexico,2010,34.400,3055.770,5.400,481.490,31.700,2814.110
durango,2010,21.100,352.710,8.800,146.730,18.600,311.970
guanajuato,2010,28.900,1611.180,5.700,315.740,16.900,942.650
guerrero,2010,23.000,791.650,2.000,68.210,7.500,258.370
hidalgo,2010,27.500,741.950,4.200,112.740,13.700,370.100
jalisco,2010,33.700,2516.020,6.200,465.950,23.000,1718.780
mexico,2010,32.200,5031.220,5.600,878.780,19.300,3026.890
michoacan,2010,28.600,1269.200,4.300,192.540,12.300,544.120
morelos,2010,33.600,608.390,5.800,105.590,17.300,312.660
nayarit,2010,33.400,372.910,4.300,48.140,20.900,232.970
nuevo_leon,2010,31.600,1496.460,8.200,388.320,39.100,1852.210
oaxaca,2010,22.200,859.620,1.300,50.160,9.500,369.700
puebla,2010,21.600,1271.170,5.600,327.440,11.300,666.850
queretaro,2010,31.700,587.880,5.000,92.970,21.800,404.320
quintana_roo,2010,36.100,491.480,4.700,64.550,24.600,334.540
san_luis_potosi,2010,20.900,549.520,7.200,189.130,19.500,510.640
sinaloa,2010,33.300,953.330,7.700,219.810,22.300,637.990
sonora,2010,31.600,862.970,6.800,186.930,28.400,775.510
tabasco,2010,27.200,615.880,4.100,93.470,11.500,261.210
tamaulipas,2010,26.900,899.020,9.400,312.830,24.800,828.320
tlaxcala,2010,19.300,230.560,7.400,87.920,13.000,154.620
veracruz,2010,23.600,1825.930,4.500,349.730,14.300,1101.340
yucatan,2010,26.000,515.910,6.400,127.720,19.200,381.540
zacatecas,2010,18.400,277.690,6.900,103.920,14.500,219.820
