Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2000,67543
"     Baja California",2000,122240
"     Baja California Sur",2000,29843
"     Campeche",2000,41807
"     Chiapas",2000,82796
"     Chihuahua",2000,199771
"     Coahuila ",2000,179643
"     Colima",2000,42920
"     D.F. Norte",2000,354907
"     D.F. Sur",2000,365979
"     Durango",2000,98464
"     Guanajuato",2000,228811
"     Guerrero",2000,79404
"     Hidalgo",2000,57664
"     Jalisco",2000,363714
"     México Oriente",2000,377767
"     México Poniente",2000,214933
"     Michoacán",2000,131023
"     Morelos",2000,90151
"     Nayarit",2000,44770
"     Nuevo León",2000,414512
"     Oaxaca",2000,70951
"     Puebla",2000,194299
"     Querétaro",2000,64929
"     Quintana Roo",2000,52489
"     San Luis Potosí",2000,60937
"     Sinaloa",2000,219987
"     Sonora",2000,136037
"     Tabasco",2000,50235
"     Tamaulipas",2000,221992
"     Tlaxcala",2000,41538
"     Veracruz Norte",2000,163354
"     Veracruz Sur",2000,158304
"     Yucatán",2000,115214
"     Zacatecas",2000,46175
