Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2015,234123
"     Baja California",2015,582879
"     Baja California Sur",2015,73752
"     Campeche",2015,67127
"     Chiapas",2015,188511
"     Chihuahua",2015,440178
"     Coahuila ",2015,478300
"     Colima",2015,93374
"     D.F. Norte",2015,1028326
"     D.F. Sur",2015,869820
"     Durango",2015,215914
"     Guanajuato",2015,263252
"     Guerrero",2015,178610
"     Hidalgo",2015,142628
"     Jalisco",2015,1001923
"     México Oriente",2015,976338
"     México Poniente",2015,505633
"     Michoacán",2015,307000
"     Morelos",2015,105811
"     Nayarit",2015,133951
"     Nuevo León",2015,1246983
"     Oaxaca",2015,118744
"     Puebla",2015,349825
"     Querétaro",2015,176199
"     Quintana Roo",2015,129828
"     San Luis Potosí",2015,289503
"     Sinaloa",2015,415299
"     Sonora",2015,441915
"     Tabasco",2015,113499
"     Tamaulipas",2015,510867
"     Tlaxcala",2015,76751
"     Veracruz Norte",2015,501352
"     Veracruz Sur",2015,196971
"     Yucatán",2015,189396
"     Zacatecas",2015,70501
