Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2012,225115
"     Baja California",2012,455190
"     Baja California Sur",2012,96659
"     Campeche",2012,44519
"     Chiapas",2012,133917
"     Chihuahua",2012,498673
"     Coahuila ",2012,421009
"     Colima",2012,79651
"     D.F. Norte",2012,603380
"     D.F. Sur",2012,767473
"     Durango",2012,283323
"     Guanajuato",2012,352057
"     Guerrero",2012,127938
"     Hidalgo",2012,132800
"     Jalisco",2012,972370
"     México Oriente",2012,1147800
"     México Poniente",2012,506603
"     Michoacán",2012,223777
"     Morelos",2012,186949
"     Nayarit",2012,106980
"     Nuevo León",2012,996724
"     Oaxaca",2012,122916
"     Puebla",2012,292179
"     Querétaro",2012,122682
"     Quintana Roo",2012,69116
"     San Luis Potosí",2012,190356
"     Sinaloa",2012,451371
"     Sonora",2012,363370
"     Tabasco",2012,58873
"     Tamaulipas",2012,315124
"     Tlaxcala",2012,61347
"     Veracruz Norte",2012,351158
"     Veracruz Sur",2012,182400
"     Yucatán",2012,202579
"     Zacatecas",2012,56666
