Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2011,204349
"     Baja California",2011,390595
"     Baja California Sur",2011,94020
"     Campeche",2011,39585
"     Chiapas",2011,137115
"     Chihuahua",2011,417307
"     Coahuila ",2011,404104
"     Colima",2011,74517
"     D.F. Norte",2011,533348
"     D.F. Sur",2011,724918
"     Durango",2011,273611
"     Guanajuato",2011,319572
"     Guerrero",2011,133297
"     Hidalgo",2011,118085
"     Jalisco",2011,853525
"     México Oriente",2011,975777
"     México Poniente",2011,361461
"     Michoacán",2011,196263
"     Morelos",2011,181640
"     Nayarit",2011,104982
"     Nuevo León",2011,865816
"     Oaxaca",2011,114745
"     Puebla",2011,252665
"     Querétaro",2011,135300
"     Quintana Roo",2011,56125
"     San Luis Potosí",2011,181273
"     Sinaloa",2011,422212
"     Sonora",2011,333229
"     Tabasco",2011,43126
"     Tamaulipas",2011,286918
"     Tlaxcala",2011,57895
"     Veracruz Norte",2011,316585
"     Veracruz Sur",2011,152336
"     Yucatán",2011,158040
"     Zacatecas",2011,56425
