Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2018,194442
"     Baja California",2018,581767
"     Baja California Sur",2018,106368
"     Campeche",2018,72631
"     Chiapas",2018,195738
"     Chihuahua",2018,388451
"     Coahuila ",2018,578930
"     Colima",2018,110638
"     D.F. Norte",2018,1065473
"     D.F. Sur",2018,1197903
"     Durango",2018,247689
"     Guanajuato",2018,327972
"     Guerrero",2018,130607
"     Hidalgo",2018,106400
"     Jalisco",2018,1103796
"     México Oriente",2018,867262
"     México Poniente",2018,557460
"     Michoacán",2018,304821
"     Morelos",2018,153693
"     Nayarit",2018,105228
"     Nuevo León",2018,1500597
"     Oaxaca",2018,126014
"     Puebla",2018,422246
"     Querétaro",2018,173383
"     Quintana Roo",2018,184179
"     San Luis Potosí",2018,321246
"     Sinaloa",2018,404599
"     Sonora",2018,388156
"     Tabasco",2018,140169
"     Tamaulipas",2018,501576
"     Tlaxcala",2018,99386
"     Veracruz Norte",2018,525493
"     Veracruz Sur",2018,180296
"     Yucatán",2018,217296
"     Zacatecas",2018,74776
