Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2007,78604
"     Baja California",2007,206365
"     Baja California Sur",2007,43319
"     Campeche",2007,29228
"     Chiapas",2007,111003
"     Chihuahua",2007,219450
"     Coahuila ",2007,235882
"     Colima",2007,39648
"     D.F. Norte",2007,306585
"     D.F. Sur",2007,300465
"     Durango",2007,103150
"     Guanajuato",2007,242532
"     Guerrero",2007,121102
"     Hidalgo",2007,76123
"     Jalisco",2007,499633
"     México Oriente",2007,458561
"     México Poniente",2007,193512
"     Michoacán",2007,182762
"     Morelos",2007,83713
"     Nayarit",2007,66401
"     Nuevo León",2007,296307
"     Oaxaca",2007,57414
"     Puebla",2007,151475
"     Querétaro",2007,114698
"     Quintana Roo",2007,55508
"     San Luis Potosí",2007,135611
"     Sinaloa",2007,159611
"     Sonora",2007,178656
"     Tabasco",2007,33611
"     Tamaulipas",2007,171559
"     Tlaxcala",2007,45357
"     Veracruz Norte",2007,222551
"     Veracruz Sur",2007,115955
"     Yucatán",2007,108336
"     Zacatecas",2007,39863
