Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2010,178663
"     Baja California",2010,319744
"     Baja California Sur",2010,94018
"     Campeche",2010,37900
"     Chiapas",2010,138197
"     Chihuahua",2010,306279
"     Coahuila ",2010,359312
"     Colima",2010,68680
"     D.F. Norte",2010,518933
"     D.F. Sur",2010,607441
"     Durango",2010,204610
"     Guanajuato",2010,331682
"     Guerrero",2010,141208
"     Hidalgo",2010,98110
"     Jalisco",2010,699100
"     México Oriente",2010,749191
"     México Poniente",2010,326473
"     Michoacán",2010,197320
"     Morelos",2010,165798
"     Nayarit",2010,77680
"     Nuevo León",2010,713330
"     Oaxaca",2010,94130
"     Puebla",2010,254973
"     Querétaro",2010,155788
"     Quintana Roo",2010,71907
"     San Luis Potosí",2010,153837
"     Sinaloa",2010,303134
"     Sonora",2010,259391
"     Tabasco",2010,38834
"     Tamaulipas",2010,318563
"     Tlaxcala",2010,55483
"     Veracruz Norte",2010,321945
"     Veracruz Sur",2010,144478
"     Yucatán",2010,163850
"     Zacatecas",2010,60074
