Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2008,133158
"     Baja California",2008,253983
"     Baja California Sur",2008,65500
"     Campeche",2008,20968
"     Chiapas",2008,133367
"     Chihuahua",2008,255615
"     Coahuila ",2008,284550
"     Colima",2008,50894
"     D.F. Norte",2008,538893
"     D.F. Sur",2008,381977
"     Durango",2008,115408
"     Guanajuato",2008,238322
"     Guerrero",2008,126024
"     Hidalgo",2008,81043
"     Jalisco",2008,642554
"     México Oriente",2008,512808
"     México Poniente",2008,215377
"     Michoacán",2008,222616
"     Morelos",2008,90289
"     Nayarit",2008,62861
"     Nuevo León",2008,466138
"     Oaxaca",2008,67711
"     Puebla",2008,222817
"     Querétaro",2008,172443
"     Quintana Roo",2008,48227
"     San Luis Potosí",2008,168779
"     Sinaloa",2008,194429
"     Sonora",2008,225624
"     Tabasco",2008,36710
"     Tamaulipas",2008,231250
"     Tlaxcala",2008,51438
"     Veracruz Norte",2008,286060
"     Veracruz Sur",2008,130405
"     Yucatán",2008,137939
"     Zacatecas",2008,42603
