Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2017,235856
"     Baja California",2017,657032
"     Baja California Sur",2017,97552
"     Campeche",2017,91410
"     Chiapas",2017,214459
"     Chihuahua",2017,461898
"     Coahuila ",2017,559638
"     Colima",2017,113770
"     D.F. Norte",2017,1022248
"     D.F. Sur",2017,1189163
"     Durango",2017,232286
"     Guanajuato",2017,307771
"     Guerrero",2017,122614
"     Hidalgo",2017,129073
"     Jalisco",2017,1065592
"     México Oriente",2017,904002
"     México Poniente",2017,546090
"     Michoacán",2017,334401
"     Morelos",2017,135485
"     Nayarit",2017,119736
"     Nuevo León",2017,1512199
"     Oaxaca",2017,131377
"     Puebla",2017,441609
"     Querétaro",2017,182286
"     Quintana Roo",2017,174234
"     San Luis Potosí",2017,342961
"     Sinaloa",2017,415313
"     Sonora",2017,440156
"     Tabasco",2017,153717
"     Tamaulipas",2017,483118
"     Tlaxcala",2017,88608
"     Veracruz Norte",2017,545500
"     Veracruz Sur",2017,167643
"     Yucatán",2017,193051
"     Zacatecas",2017,71607
