Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2019,161409
"     Baja California",2019,496810
"     Baja California Sur",2019,88486
"     Campeche",2019,67295
"     Chiapas",2019,163974
"     Chihuahua",2019,362803
"     Coahuila ",2019,558629
"     Colima",2019,97804
"     D.F. Norte",2019,1019181
"     D.F. Sur",2019,969767
"     Durango",2019,237703
"     Guanajuato",2019,283830
"     Guerrero",2019,119137
"     Hidalgo",2019,159631
"     Jalisco",2019,1006087
"     México Oriente",2019,848408
"     México Poniente",2019,535656
"     Michoacán",2019,295134
"     Morelos",2019,149250
"     Nayarit",2019,96658
"     Nuevo León",2019,1447052
"     Oaxaca",2019,125804
"     Puebla",2019,452568
"     Querétaro",2019,167325
"     Quintana Roo",2019,184177
"     San Luis Potosí",2019,249913
"     Sinaloa",2019,408256
"     Sonora",2019,369206
"     Tabasco",2019,128499
"     Tamaulipas",2019,475779
"     Tlaxcala",2019,89614
"     Veracruz Norte",2019,514347
"     Veracruz Sur",2019,194983
"     Yucatán",2019,197624
"     Zacatecas",2019,67310
