Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2014,179898
"     Baja California",2014,391975
"     Baja California Sur",2014,74061
"     Campeche",2014,55157
"     Chiapas",2014,109383
"     Chihuahua",2014,433229
"     Coahuila ",2014,379859
"     Colima",2014,66589
"     D.F. Norte",2014,697475
"     D.F. Sur",2014,771274
"     Durango",2014,193841
"     Guanajuato",2014,230340
"     Guerrero",2014,128058
"     Hidalgo",2014,124510
"     Jalisco",2014,866436
"     México Oriente",2014,850303
"     México Poniente",2014,457491
"     Michoacán",2014,196231
"     Morelos",2014,129292
"     Nayarit",2014,107023
"     Nuevo León",2014,1011234
"     Oaxaca",2014,103598
"     Puebla",2014,239675
"     Querétaro",2014,100456
"     Quintana Roo",2014,73046
"     San Luis Potosí",2014,244569
"     Sinaloa",2014,317299
"     Sonora",2014,293261
"     Tabasco",2014,60665
"     Tamaulipas",2014,371851
"     Tlaxcala",2014,61870
"     Veracruz Norte",2014,309287
"     Veracruz Sur",2014,120891
"     Yucatán",2014,170555
"     Zacatecas",2014,52015
