Deteccióndepadecimientos_Diabetes,anio,Total
"     Aguascalientes",2009,142229
"     Baja California",2009,226223
"     Baja California Sur",2009,67682
"     Campeche",2009,21644
"     Chiapas",2009,145137
"     Chihuahua",2009,294810
"     Coahuila ",2009,285000
"     Colima",2009,54534
"     D.F. Norte",2009,490191
"     D.F. Sur",2009,626424
"     Durango",2009,156244
"     Guanajuato",2009,314975
"     Guerrero",2009,139157
"     Hidalgo",2009,80566
"     Jalisco",2009,544893
"     México Oriente",2009,584732
"     México Poniente",2009,254783
"     Michoacán",2009,203941
"     Morelos",2009,120891
"     Nayarit",2009,58486
"     Nuevo León",2009,560261
"     Oaxaca",2009,70601
"     Puebla",2009,268833
"     Querétaro",2009,144821
"     Quintana Roo",2009,59540
"     San Luis Potosí",2009,144023
"     Sinaloa",2009,238812
"     Sonora",2009,257215
"     Tabasco",2009,36379
"     Tamaulipas",2009,238917
"     Tlaxcala",2009,51693
"     Veracruz Norte",2009,269833
"     Veracruz Sur",2009,102804
"     Yucatán",2009,149361
"     Zacatecas",2009,50362
