Entidadfederativa,Periodo,Hogarescongastoensistemasalternativossalud_segúndecildeingresos,Hogaressegúndecilesdeingreso,Hogarescongastoensistemasalternativossaluddecilesdeingreso
Aguascalientes,2014,4.670,324663,15167
"Baja California",2014,0.710,1001209,7104
"Baja California Sur",2014,1.610,212282,3411
Campeche,2014,1.940,235057,4569
"Coahuila de Zaragoza",2014,3.180,786506,24986
Colima,2014,4.010,201725,8095
Chiapas,2014,1.850,1188844,22053
Chihuahua,2014,0.620,1039843,6468
"Ciudad de México",2014,3.670,2574271,94558
Durango,2014,3.970,462587,18363
Guanajuato,2014,1.150,1453334,16670
Guerrero,2014,5.760,867654,49972
Hidalgo,2014,3.480,775279,27015
Jalisco,2014,7.820,2008044,157036
México,2014,1.060,4190670,44236
"Michoacán de Ocampo",2014,3.430,1164704,39973
Morelos,2014,3.830,539779,20673
Nayarit,2014,3.940,337065,13269
"Nuevo León",2014,1.160,1368927,15843
Oaxaca,2014,2.120,976167,20725
Puebla,2014,5.150,1527788,78671
Querétaro,2014,3.810,515819,19657
"Quintana Roo",2014,1.810,416960,7545
"San Luis Potosí",2014,3.090,701809,21681
Sinaloa,2014,3.930,817868,32112
Sonora,2014,2.400,826341,19870
Tabasco,2014,2.120,626507,13266
Tamaulipas,2014,0.000,990563,0
Tlaxcala,2014,5.380,303251,16321
"Veracruz de Ignacio de la Llave",2014,4.760,2222853,105877
Yucatán,2014,2.680,550456,14775
Zacatecas,2014,4.210,462177,19460
