Entidadfederativa,Periodo,Hogarescongastoensistemasalternativossalud_segúndecildeingresos,Hogaressegúndecilesdeingreso,Hogarescongastoensistemasalternativossaluddecilesdeingreso
Aguascalientes,2012,4.390,324641,14264
"Baja California",2012,0.460,953526,4387
"Baja California Sur",2012,0.730,203904,1491
Campeche,2012,3.490,240267,8389
"Coahuila de Zaragoza",2012,3.320,825331,27414
Colima,2012,1.050,189297,1987
Chiapas,2012,3.060,1210648,37030
Chihuahua,2012,1.170,1081438,12639
"Ciudad de México",2012,5.010,2579641,129363
Durango,2012,3.050,451999,13765
Guanajuato,2012,1.770,1386321,24599
Guerrero,2012,0.460,914415,4226
Hidalgo,2012,4.000,728446,29169
Jalisco,2012,7.190,1881404,135233
México,2012,1.780,4369319,77713
"Michoacán de Ocampo",2012,2.610,1097516,28592
Morelos,2012,6.020,545964,32840
Nayarit,2012,5.470,314370,17192
"Nuevo León",2012,2.630,1386126,36465
Oaxaca,2012,2.300,1057707,24297
Puebla,2012,2.400,1550920,37226
Querétaro,2012,6.470,572312,37032
"Quintana Roo",2012,0.400,404545,1625
"San Luis Potosí",2012,2.800,741493,20769
Sinaloa,2012,1.000,779572,7773
Sonora,2012,2.830,821949,23290
Tabasco,2012,2.870,626728,17970
Tamaulipas,2012,0.240,996265,2422
Tlaxcala,2012,4.530,302618,13713
"Veracruz de Ignacio de la Llave",2012,3.580,2112160,75643
Yucatán,2012,2.170,493542,10733
Zacatecas,2012,1.450,414995,6016
