estado_1,anio,porc_pob_afiliada_seguro_popular,miles_perso_afiliadas_seguro_popular,porc_pob_afiliada_imss,miles_perso_afilidas_imss,porc_pob_afiliada_issste,miles_perso_afilidas_issste,porc_pob_afiliada_issste_estatal,miles_perso_afilidas_issste_estatal,porc_pob_afiliada_pemex_defensa_o_marina,miles_perso_afiliadas_pemex_defensa_o_marina,porc_pob_seguro_privado_gastos_med,miles_perso_seguro_privado_gastos_med,porc_pob_acces_servicios_med_seg_social_indirect,miles_perso_acces_servicios_med_seg_social_indirect,porc_pob_afiliada_inst_medica_dist_las_ant,miles_perso_afiliadas_inst_medica_dist_las_ant
aguascalientes,2018,31.000,416.080,54.000,724.480,6.600,88.630,0.400,4.980,0.100,1.490,0.900,12.280,1.800,23.580,0.400,5.040
baja_california,2018,26.700,974.980,50.700,1848.900,2.900,107.620,3.700,134.100,0.300,10.290,1.100,38.610,2.900,105.970,0.800,30.900
baja_california_sur,2018,26.300,221.180,53.300,447.550,12.600,105.640,0.100,0.650,1.000,8.080,0.800,6.920,2.200,18.110,0.600,4.830
campeche,2018,53.900,513.110,29.300,278.880,6.200,58.700,0.200,1.790,3.200,30.240,0.300,2.440,1.100,10.030,0.100,1.400
coahuila,2018,17.000,523.790,66.000,2028.260,5.700,175.300,0.100,3.110,0.200,7.410,1.200,37.700,2.200,66.930,1.500,45.160
colima,2018,38.100,290.930,46.700,356.670,7.100,54.340,0.000,0.350,0.900,6.670,0.800,6.010,1.400,10.910,0.500,3.630
chiapas,2018,69.400,3793.720,9.500,519.220,4.100,222.170,1.000,53.130,0.400,21.050,0.200,8.240,0.800,41.100,0.500,29.540
chihuahua,2018,29.700,1135.610,53.400,2042.080,4.100,156.460,2.700,103.120,0.200,6.610,1.400,55.170,2.600,99.440,1.700,65.820
ciudad_de_mexico,2018,24.400,2141.410,42.500,3727.840,13.100,1150.220,0.200,17.670,0.900,81.280,1.800,154.410,2.300,197.630,2.100,180.840
durango,2018,39.200,713.020,42.600,775.290,9.900,180.150,0.200,3.540,0.300,4.570,0.700,13.250,1.400,25.470,0.200,3.640
guanajuato,2018,46.800,2793.770,36.200,2162.160,4.000,239.050,0.500,28.410,0.400,21.290,0.300,18.640,1.400,83.790,0.200,10.800
guerrero,2018,65.600,2381.690,13.200,478.950,8.200,296.930,0.900,31.300,1.000,35.300,0.200,7.780,0.800,28.560,0.000,0.680
hidalgo,2018,59.700,1784.570,20.600,616.770,6.800,203.980,0.100,2.990,0.400,10.890,0.400,10.900,1.300,38.650,0.400,11.220
jalisco,2018,30.900,2544.300,46.500,3823.140,3.300,272.780,0.100,4.480,0.400,30.290,1.300,105.550,2.700,222.270,0.900,73.590
mexico,2018,39.000,6884.980,34.400,6074.450,4.600,812.690,4.200,749.990,0.700,116.510,0.900,163.490,1.900,340.890,0.300,60.000
michoacan,2018,50.500,2372.240,24.100,1130.090,5.700,266.080,0.100,4.540,0.300,15.920,0.400,18.400,1.700,81.660,0.300,13.820
morelos,2018,50.800,1013.320,28.500,567.390,5.700,113.410,0.000,0.880,0.300,6.330,0.500,9.000,1.300,26.350,0.600,11.340
nayarit,2018,44.600,578.930,37.500,486.000,9.400,122.000,0.000,0.620,0.300,3.820,0.500,6.160,1.700,22.460,0.500,5.970
nuevo_leon,2018,20.000,1063.810,63.000,3352.340,2.900,154.170,1.400,72.720,0.200,12.780,1.900,102.700,2.500,132.170,2.300,119.870
oaxaca,2018,65.400,2673.760,12.900,529.610,6.900,283.240,0.000,1.200,1.100,44.600,0.200,6.820,0.900,38.520,0.200,6.410
puebla,2018,54.100,3452.820,21.800,1390.200,2.600,168.310,2.200,139.310,0.500,32.320,0.200,11.190,1.300,80.930,0.200,14.050
queretaro,2018,43.500,912.650,45.200,949.820,3.800,79.490,0.000,0.680,0.200,5.140,1.100,23.880,2.300,47.480,0.800,16.240
quintana_roo,2018,37.300,642.200,43.900,756.790,5.900,102.190,0.000,0.110,0.200,3.620,0.500,8.790,2.900,49.230,0.300,4.990
san_luis_potosi,2018,49.200,1394.600,38.100,1079.350,5.000,142.500,0.200,4.900,0.500,14.290,0.900,24.080,1.300,37.820,1.000,27.970
sinaloa,2018,33.900,1040.280,50.000,1532.860,7.700,237.590,1.100,35.080,0.500,13.850,0.600,19.920,1.600,48.190,0.500,16.240
sonora,2018,31.500,963.350,53.400,1636.000,3.700,112.580,5.000,152.070,0.600,17.220,1.200,35.420,1.900,58.370,0.800,23.870
tabasco,2018,59.300,1458.480,20.500,504.060,3.000,74.920,5.200,127.290,3.700,91.860,0.400,10.310,1.500,37.930,0.400,10.960
tamaulipas,2018,33.000,1211.540,46.400,1704.400,6.200,228.030,1.900,71.580,2.200,79.940,0.600,21.360,2.000,71.640,0.600,21.390
tlaxcala,2018,58.400,780.090,28.900,385.370,5.000,67.260,0.400,4.840,0.600,7.860,0.300,3.640,0.800,10.970,0.700,9.990
veracruz,2018,52.900,4353.770,26.700,2200.790,4.200,341.980,0.100,6.160,2.500,209.780,0.100,12.090,0.900,75.510,0.600,46.250
yucatan,2018,41.100,906.310,41.000,905.110,4.900,108.090,0.200,4.480,0.900,19.130,0.900,20.740,1.800,38.800,0.700,14.820
zacatecas,2018,55.300,892.350,30.200,487.970,5.800,93.540,0.400,7.260,0.200,2.570,0.300,4.870,0.800,12.320,0.100,2.290
