estado_1,anio,porc_pob_afiliada_seguro_popular,miles_perso_afiliadas_seguro_popular,porc_pob_afiliada_imss,miles_perso_afilidas_imss,porc_pob_afiliada_issste,miles_perso_afilidas_issste,porc_pob_afiliada_issste_estatal,miles_perso_afilidas_issste_estatal,porc_pob_afiliada_pemex_defensa_o_marina,miles_perso_afiliadas_pemex_defensa_o_marina,porc_pob_seguro_privado_gastos_med,miles_perso_seguro_privado_gastos_med,porc_pob_acces_servicios_med_seg_social_indirect,miles_perso_acces_servicios_med_seg_social_indirect,porc_pob_afiliada_inst_medica_dist_las_ant,miles_perso_afiliadas_inst_medica_dist_las_ant
aguascalientes,2016,33.700,440.930,53.100,696.210,6.200,81.570,0.300,3.290,0.100,1.460,0.400,5.590,1.600,21.260,0.500,6.390
baja_california,2016,26.700,947.800,50.500,1791.660,3.100,109.690,4.300,151.300,0.100,3.140,1.800,64.170,3.200,113.520,1.000,34.460
baja_california_sur,2016,30.100,239.310,48.300,383.500,13.000,103.430,0.200,1.840,0.600,4.470,1.400,11.310,2.300,18.120,0.400,3.570
campeche,2016,56.600,523.890,29.100,268.840,6.600,61.000,0.300,2.680,3.400,31.490,0.500,4.810,1.300,12.380,0.200,2.220
coahuila,2016,25.300,759.840,63.200,1899.370,6.100,182.980,0.200,6.500,0.100,3.590,1.300,39.430,1.900,57.050,2.700,82.470
colima,2016,38.700,286.360,44.900,332.140,6.400,47.460,0.100,0.670,1.400,10.640,0.700,5.330,1.600,11.840,0.300,2.410
chiapas,2016,71.800,3831.020,11.600,620.660,3.100,167.260,1.700,89.050,0.400,19.980,0.300,16.790,1.000,55.290,0.700,37.330
chihuahua,2016,34.200,1285.720,51.500,1935.310,4.900,185.140,0.500,18.430,0.200,8.850,1.100,42.430,2.200,83.560,3.900,145.410
ciudad_de_mexico,2016,26.400,2331.710,43.000,3796.770,12.000,1054.420,0.200,14.320,0.700,63.330,1.600,137.390,2.900,258.490,1.000,91.510
durango,2016,42.800,765.690,39.900,712.560,10.800,193.490,0.100,1.270,0.500,8.060,0.400,7.240,1.600,28.830,0.300,4.680
guanajuato,2016,49.400,2901.010,36.000,2115.320,4.900,285.150,0.500,26.670,0.500,32.180,0.800,47.950,1.900,111.300,0.400,21.980
guerrero,2016,67.400,2421.010,14.200,511.520,8.300,297.940,0.000,0.000,1.500,52.650,0.400,13.780,0.800,29.190,0.000,1.580
hidalgo,2016,63.600,1858.170,19.700,575.470,5.800,168.640,0.100,3.410,1.100,31.960,0.300,8.210,1.000,28.630,0.500,13.940
jalisco,2016,36.600,2943.740,46.500,3744.040,2.800,224.680,0.000,3.950,0.100,6.660,1.000,82.550,2.600,212.530,0.500,36.950
mexico,2016,44.100,7579.860,35.200,6043.000,5.100,881.540,4.300,737.390,1.000,179.970,0.700,126.310,1.600,276.040,0.500,92.980
michoacan,2016,52.000,2410.990,23.100,1071.080,4.400,204.650,0.100,3.540,0.400,17.440,0.400,16.380,1.600,72.040,0.300,13.320
morelos,2016,52.400,1021.660,30.100,586.940,6.300,123.370,0.000,0.830,0.600,12.290,0.700,13.970,1.500,28.560,0.500,9.690
nayarit,2016,47.700,598.180,33.900,424.980,9.900,123.640,0.100,1.840,0.500,5.860,0.500,6.850,1.100,13.970,0.400,5.220
nuevo_leon,2016,22.500,1166.810,59.900,3100.210,2.900,151.540,0.900,46.430,0.500,25.020,2.100,110.090,2.700,137.310,3.300,169.990
oaxaca,2016,68.900,2788.230,10.400,422.290,5.700,230.630,0.000,0.000,1.100,43.460,0.200,7.220,0.700,29.960,0.100,3.860
puebla,2016,57.300,3596.350,21.300,1333.830,3.500,218.540,2.500,159.940,0.500,29.650,0.600,36.430,1.800,112.290,0.600,40.480
queretaro,2016,43.700,892.060,46.000,940.140,4.100,82.880,0.100,1.710,0.200,3.560,1.100,22.590,1.900,39.620,1.300,27.300
quintana_roo,2016,37.000,604.380,41.500,676.990,7.400,120.410,0.000,0.430,0.400,6.120,1.100,17.690,3.200,51.900,0.600,9.470
san_luis_potosi,2016,53.500,1489.730,34.700,966.920,6.400,177.410,0.200,4.470,0.300,8.120,0.700,18.980,1.600,43.370,0.600,17.700
sinaloa,2016,38.000,1146.260,47.700,1440.560,9.500,287.170,0.900,25.820,0.800,23.480,0.500,15.180,1.300,39.610,0.800,25.420
sonora,2016,32.600,973.560,47.700,1422.560,4.300,127.150,6.100,180.900,0.400,12.940,1.800,54.300,2.600,76.560,0.500,15.460
tabasco,2016,59.400,1434.180,19.300,465.580,3.000,72.900,6.300,152.250,2.900,70.730,0.300,7.050,1.400,32.960,1.400,33.240
tamaulipas,2016,35.300,1270.700,46.400,1667.530,6.400,229.780,1.300,48.530,1.300,47.520,0.900,31.090,2.400,85.690,1.200,43.540
tlaxcala,2016,66.100,859.250,26.100,339.860,5.800,75.090,0.200,2.040,0.200,3.020,0.200,2.320,0.900,12.110,0.400,5.490
veracruz,2016,53.400,4336.450,22.100,1798.940,4.700,378.610,0.000,0.000,3.100,255.700,0.200,18.120,1.300,104.370,0.200,17.560
yucatan,2016,45.300,975.990,38.500,828.840,5.100,109.480,0.400,8.340,0.700,14.420,0.800,17.260,1.500,32.900,0.500,11.790
zacatecas,2016,58.600,933.250,29.700,473.430,6.600,105.790,0.500,8.270,0.100,0.990,0.200,3.030,1.100,17.200,0.300,4.940
