estado_1,anio,pobreza_profundidad,pobreza_intensidad,pobreza_extrema_profundidad,pobreza_extrema_intensidad
aguascalientes,2010,1.940,0.120,3.440,0.020
baja_california,2010,2.150,0.110,3.420,0.020
baja_california_sur,2010,2.300,0.120,3.790,0.030
campeche,2010,2.790,0.230,3.770,0.090
coahuila,2010,1.870,0.090,3.390,0.020
colima,2010,2.160,0.120,3.710,0.020
chiapas,2010,3.170,0.410,3.940,0.250
chihuahua,2010,2.100,0.140,3.690,0.040
ciudad_de_mexico,2010,2.090,0.100,3.500,0.010
durango,2010,2.260,0.190,3.580,0.060
guanajuato,2010,2.360,0.190,3.510,0.050
guerrero,2010,3.390,0.380,4.060,0.220
hidalgo,2010,2.610,0.240,3.660,0.080
jalisco,2010,2.260,0.140,3.680,0.030
mexico,2010,2.490,0.180,3.630,0.050
michoacan,2010,2.840,0.260,3.880,0.090
morelos,2010,2.370,0.170,3.670,0.040
nayarit,2010,2.340,0.160,3.860,0.050
nuevo_leon,2010,1.980,0.070,3.480,0.010
oaxaca,2010,3.200,0.360,3.960,0.190
puebla,2010,2.840,0.290,3.950,0.110
queretaro,2010,2.240,0.150,3.550,0.040
quintana_roo,2010,2.440,0.140,3.580,0.040
san_luis_potosi,2010,2.630,0.230,3.770,0.100
sinaloa,2010,2.220,0.140,3.640,0.030
sonora,2010,2.400,0.130,3.790,0.030
tabasco,2010,2.680,0.250,3.660,0.080
tamaulipas,2010,2.100,0.140,3.580,0.030
tlaxcala,2010,2.220,0.220,3.520,0.060
veracruz,2010,2.890,0.280,3.860,0.120
yucatan,2010,2.670,0.220,3.820,0.070
zacatecas,2010,2.160,0.220,3.480,0.060
