estado_1,anio,pobreza_profundidad,pobreza_intensidad,pobreza_extrema_profundidad,pobreza_extrema_intensidad
aguascalientes,2016,1.710,0.080,3.310,0.010
baja_california,2016,1.840,0.070,3.210,0.010
baja_california_sur,2016,1.990,0.070,3.610,0.010
campeche,2016,2.320,0.170,3.520,0.040
coahuila,2016,1.780,0.070,3.490,0.010
colima,2016,1.980,0.110,3.530,0.020
chiapas,2016,2.530,0.330,3.500,0.160
chihuahua,2016,1.870,0.100,3.750,0.020
ciudad_de_mexico,2016,1.800,0.080,3.340,0.010
durango,2016,1.790,0.110,3.580,0.020
guanajuato,2016,1.880,0.130,3.430,0.030
guerrero,2016,2.690,0.290,3.620,0.140
hidalgo,2016,2.230,0.190,3.460,0.050
jalisco,2016,1.810,0.100,3.400,0.010
mexico,2016,1.980,0.160,3.540,0.040
michoacan,2016,2.330,0.220,3.560,0.060
morelos,2016,2.010,0.170,3.440,0.030
nayarit,2016,2.190,0.140,3.780,0.050
nuevo_leon,2016,1.820,0.040,3.360,0.000
oaxaca,2016,2.790,0.330,3.660,0.160
puebla,2016,2.180,0.220,3.530,0.050
queretaro,2016,1.880,0.100,3.480,0.020
quintana_roo,2016,2.270,0.110,3.460,0.020
san_luis_potosi,2016,2.110,0.160,3.480,0.040
sinaloa,2016,2.080,0.110,3.710,0.020
sonora,2016,2.030,0.090,3.490,0.010
tabasco,2016,2.540,0.220,3.500,0.070
tamaulipas,2016,1.870,0.100,3.300,0.020
tlaxcala,2016,1.790,0.160,3.300,0.030
veracruz,2016,2.470,0.260,3.550,0.100
yucatan,2016,2.360,0.160,3.630,0.040
zacatecas,2016,1.670,0.140,3.240,0.020
