estado_1,anio,pobreza_profundidad,pobreza_intensidad,pobreza_extrema_profundidad,pobreza_extrema_intensidad
aguascalientes,2008,1.970,0.120,3.520,0.020
baja_california,2008,2.150,0.090,3.430,0.020
baja_california_sur,2008,2.240,0.080,3.570,0.020
campeche,2008,2.770,0.210,3.820,0.080
coahuila,2008,1.940,0.110,3.430,0.020
colima,2008,1.980,0.090,3.500,0.010
chiapas,2008,3.340,0.430,3.990,0.260
chihuahua,2008,2.580,0.140,4.230,0.050
ciudad_de_mexico,2008,2.180,0.100,3.510,0.010
durango,2008,2.490,0.200,3.690,0.070
guanajuato,2008,2.570,0.190,3.660,0.050
guerrero,2008,3.510,0.400,4.180,0.230
hidalgo,2008,2.830,0.260,3.800,0.100
jalisco,2008,2.270,0.140,3.600,0.030
mexico,2008,2.580,0.190,3.740,0.040
michoacan,2008,3.080,0.290,4.060,0.100
morelos,2008,2.520,0.210,3.590,0.050
nayarit,2008,2.280,0.160,3.690,0.040
nuevo_leon,2008,2.300,0.080,3.620,0.020
oaxaca,2008,3.620,0.370,4.220,0.200
puebla,2008,3.050,0.330,4.010,0.130
queretaro,2008,2.330,0.140,3.770,0.030
quintana_roo,2008,2.670,0.150,3.860,0.050
san_luis_potosi,2008,2.830,0.240,3.890,0.100
sinaloa,2008,2.510,0.140,3.880,0.030
sonora,2008,2.410,0.110,3.710,0.030
tabasco,2008,2.670,0.240,3.660,0.100
tamaulipas,2008,2.190,0.120,3.500,0.030
tlaxcala,2008,2.340,0.230,3.600,0.060
veracruz,2008,3.210,0.270,4.080,0.110
yucatan,2008,2.820,0.220,3.860,0.060
zacatecas,2008,2.280,0.190,3.640,0.060
