Entidadfederativa,Periodo,T_incapacidad_es_permanentes_al_año_por_cada_1000_trabajadores,Población_15_años_y_más_que_obtuvo_incapacidad_el_último_año,Pobación_Ocupada
Aguascalientes,2017,30.25,16620,549455
"Baja California",2017,31.94,52265,1636146
"Baja California Sur",2017,65.14,24828,381170
Campeche,2017,45.21,18342,405726
"Coahuila de Zaragoza",2017,42.63,55510,1302287
Colima,2017,48.93,17395,355526
Chiapas,2017,21.32,40457,1897536
Chihuahua,2017,26.63,42807,1607709
"Ciudad de México",2017,23.49,98184,4180551
Durango,2017,27.00,20377,754717
Guanajuato,2017,30.20,75976,2515744
Guerrero,2017,10.02,14905,1488183
Hidalgo,2017,24.62,29617,1202977
Jalisco,2017,21.63,78976,3651606
México,2017,22.17,162342,7321400
"Michoacán de Ocampo",2017,14.75,28832,1954796
Morelos,2017,18.67,15062,806747
Nayarit,2017,38.43,22369,582071
"Nuevo León",2017,27.96,66140,2365771
Oaxaca,2017,8.88,14744,1659532
Puebla,2017,14.55,38437,2642533
Querétaro,2017,32.03,25797,805286
"Quintana Roo",2017,36.98,29426,795644
"San Luis Potosí",2017,31.89,37739,1183379
Sinaloa,2017,36.78,47946,1303748
Sonora,2017,39.74,53152,1337345
Tabasco,2017,36.76,34923,950077
Tamaulipas,2017,49.18,75432,1533895
Tlaxcala,2017,19.22,10633,553207
"Veracruz de Ignacio de la Llave",2017,6.73,21109,3138196
Yucatán,2017,34.64,34685,1001243
Zacatecas,2017,33.49,21858,652769
Hombres,2017,25.32,828432,32712823
Mujeres,2017,25.17,498453,19804149
"De 15 a 19 años",2017,8.96,29349,3275720
"De 20 a 24 años",2017,23.67,135245,5713465
"De 25 a 29 años",2017,27.35,173619,6347321
"De 30 a 34 años",2017,25.13,152653,6073752
"De 35 a 39 años",2017,28.26,176489,6244795
"De 40 a 44 años",2017,29.72,189150,6364641
"De 45 a 49 años",2017,30.60,168222,5497128
"De 50 a 54 años",2017,29.39,138353,4707441
"De 55 a 59 años",2017,30.34,102789,3387386
"De 60 a 64 años",2017,14.68,32585,2220277
"De 65 años y más",2017,10.59,28431,2685046
"Población menor de 65",2017,26.06,1298454,49831926
"Población de 65 y más",2017,10.59,28431,2685046
