Entidadfederativa,Periodo,T_incapacidad_es_permanentes_al_año_por_cada_1000_trabajadores,Población_15_años_y_más_que_obtuvo_incapacidad_el_último_año,Pobación_Ocupada
Aguascalientes,2013,22.99,11401,497385
"Baja California",2013,17.88,26137,1466446
"Baja California Sur",2013,31.62,10577,335409
Campeche,2013,9.71,3780,391924
"Coahuila de Zaragoza",2013,25.19,31691,1263383
Colima,2013,20.14,6669,333784
Chiapas,2013,3.59,6834,1925184
Chihuahua,2013,17.66,26095,1478826
"Ciudad de México",2013,15.89,65831,4148819
Durango,2013,15.55,10668,688989
Guanajuato,2013,21.19,51295,2441819
Guerrero,2013,3.20,4442,1410265
Hidalgo,2013,8.66,9964,1159533
Jalisco,2013,21.91,73222,3363876
México,2013,17.51,117012,6715424
"Michoacán de Ocampo",2013,9.29,16838,1832605
Morelos,2013,9.06,7034,781311
Nayarit,2013,20.81,10736,520409
"Nuevo León",2013,22.06,47958,2179180
Oaxaca,2013,4.55,7304,1624742
Puebla,2013,11.14,28347,2572227
Querétaro,2013,11.17,8224,737315
"Quintana Roo",2013,23.02,16361,713219
"San Luis Potosí",2013,14.00,15510,1113533
Sinaloa,2013,21.43,25947,1216136
Sonora,2013,24.86,31076,1252333
Tabasco,2013,13.82,12684,924253
Tamaulipas,2013,22.95,34143,1496204
Tlaxcala,2013,10.77,5606,524349
"Veracruz de Ignacio de la Llave",2013,8.46,26348,3125853
Yucatán,2013,14.13,13681,974954
Zacatecas,2013,15.05,8980,601579
Hombres,2013,17.42,533634,30837082
Mujeres,2013,12.64,238761,18974186
"De 15 a 19 años",2013,4.85,16934,3491103
"De 20 a 24 años",2013,17.23,98047,5690003
"De 25 a 29 años",2013,19.66,118335,6018825
"De 30 a 34 años",2013,20.27,118066,5825538
"De 35 a 39 años",2013,19.86,119470,6015174
"De 40 a 44 años",2013,15.02,90724,6041235
"De 45 a 49 años",2013,17.99,88977,4947048
"De 50 a 54 años",2013,14.56,60000,4120976
"De 55 a 59 años",2013,10.43,31524,3023125
"De 60 a 64 años",2013,8.83,16759,1897742
"De 65 años y más",2013,5.53,13559,2450846
"Población menor de 65",2013,16.12,758836,47360422
"Población de 65 y más",2013,5.53,13559,2450846
