Entidadfederativa,Periodo,T_incapacidad_es_permanentes_al_año_por_cada_1000_trabajadores,Población_15_años_y_más_que_obtuvo_incapacidad_el_último_año,Pobación_Ocupada
Aguascalientes,2009,16.32,6865,420542
"Baja California",2009,21.39,28293,1322974
"Baja California Sur",2009,17.59,4429,251752
Campeche,2009,13.39,4480,334580
"Coahuila de Zaragoza",2009,27.77,28768,1035935
Colima,2009,18.55,5053,272400
Chiapas,2009,7.90,13135,1663011
Chihuahua,2009,13.69,17618,1287386
"Ciudad de México",2009,11.87,45900,3866325
Durango,2009,16.39,9101,555429
Guanajuato,2009,13.67,25565,1869677
Guerrero,2009,5.82,7274,1250212
Hidalgo,2009,8.53,7863,922126
Jalisco,2009,13.67,39807,2911675
México,2009,11.75,68598,5838018
"Michoacán de Ocampo",2009,3.17,5098,1610134
Morelos,2009,13.93,9742,699457
Nayarit,2009,14.35,5976,416396
"Nuevo León",2009,24.93,47599,1909322
Oaxaca,2009,3.25,4650,1432132
Puebla,2009,10.23,22141,2165227
Querétaro,2009,13.35,8394,628607
"Quintana Roo",2009,24.73,14741,596012
"San Luis Potosí",2009,16.25,15645,962629
Sinaloa,2009,29.28,31854,1087918
Sonora,2009,17.36,17426,1003540
Tabasco,2009,18.77,14569,776264
Tamaulipas,2009,13.37,17584,1315043
Tlaxcala,2009,6.28,2990,476071
"Veracruz de Ignacio de la Llave",2009,7.00,19586,2798243
Yucatán,2009,10.83,9342,862268
Zacatecas,2009,16.05,8340,519657
Hombres,2009,14.80,398541,26926357
Mujeres,2009,10.53,169885,16134605
"De 15 a 19 años",2009,6.93,22392,3232182
"De 20 a 24 años",2009,15.52,76869,4953746
"De 25 a 29 años",2009,13.16,69338,5270424
"De 30 a 34 años",2009,17.14,92135,5375685
"De 35 a 39 años",2009,12.09,66963,5538991
"De 40 a 44 años",2009,15.72,80226,5104529
"De 45 a 49 años",2009,15.36,65650,4274944
"De 50 a 54 años",2009,13.86,47594,3433927
"De 55 a 59 años",2009,12.59,29760,2363357
"De 60 a 64 años",2009,6.93,10236,1477405
"De 65 años y más",2009,3.57,7263,2035772
"Población menor de 65",2009,13.68,561163,41025190
"Población de 65 y más",2009,3.57,7263,2035772
