TotalDeteccionesdepadecimientos,anio,Total
"     Aguascalientes",2002,305102
"     Baja California",2002,542272
"     Baja California Sur",2002,116003
"     Campeche",2002,173718
"     Chiapas",2002,304832
"     Chihuahua",2002,945867
"     Coahuila ",2002,819481
"     Colima",2002,144227
"     D.F. Norte",2002,1103430
"     D.F. Sur",2002,1514595
"     Durango",2002,377107
"     Guanajuato",2002,835058
"     Guerrero",2002,383977
"     Hidalgo",2002,221309
"     Jalisco",2002,1322167
"     México Oriente",2002,1390391
"     México Poniente",2002,790295
"     Michoacán",2002,482495
"     Morelos",2002,281372
"     Nayarit",2002,164779
"     Nuevo León",2002,1558130
"     Oaxaca",2002,280501
"     Puebla",2002,593066
"     Querétaro",2002,289699
"     Quintana Roo",2002,218957
"     San Luis Potosí",2002,481265
"     Sinaloa",2002,661202
"     Sonora",2002,590662
"     Tabasco",2002,242438
"     Tamaulipas",2002,881562
"     Tlaxcala",2002,200084
"     Veracruz Norte",2002,563171
"     Veracruz Sur",2002,525200
"     Yucatán",2002,398429
"     Zacatecas",2002,211862
